"File Name","Item Sequence","Title","Descriptive title","Thumbnail URL","Related","viewingHint","Parent ARK","Item ARK","Object Type","AltTitle.other","AltTitle.uniform","Place of origin","Date.normalized","Date.creation","Scribe","Author","Associated Name","Contributors","Contents note","Colophon","Incipit","Explicit","References","Provenance","General note","Format.extent","Format.weight","Form","Format.dimensions","Folio dimensions","Support","Foliation","Collation","Page layout","Hand note","Illustrations note","Inscription","Additions","Binding note","Binding condition","Ink color","Features","Condition note","Type.typeOfResource","Type.genre","Language","Text direction","Writing system","Script","Script note","Rights.statementLocal","Rights contact","Name.repository","Shelfmark","Collection","Other version(s)","IIIF Manifest URL","delivery","image count","Viscodex"
"","","Sinai, St. Catherine’s Monastery, Arabic 167","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bz7992%2Fzd05kt52/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1bz7992","Work","Pauline Epistles","Bible. Epistles of Paul","","1255","1255 CE","","","","","Manuscript of Coptic provenance","","","","Kamil","","","133 ff.","570.3 g","Codex","570 x 216 x 41 mm","","Paper","","","","","","","","","","","Rubrication|~|Dated|~|Marginalia","","text","Biblical texts","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 167","Old Collection","https://www.loc.gov/item/00279384453-ms/","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bz7992/manifest","delivery 1","276",""
"","","Sinai, St. Catherine’s Monastery, Arabic 177","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1766jkn%2Fsf70f31t/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1766jkn","Work","Lectionary (Epistles)","Lectionary","","1201/1300","13th c. CE","","","","","","","","","Kamil","","","305 ff.","1222.3 g","Codex","195 x 155 x 92 mm","","Paper","f. 58 lacking","","","","Minor geometric headpieces on ff. 1v, 306v","","","","","","Rubrication|~|Marginalia|~|Decoration, Geometric","","text","Liturgical texts|~|Lectionaries|~|Biblical texts","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 177","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891635 ","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1766jkn/manifest","delivery 1","620",""
"","","Sinai, St. Catherine’s Monastery, Arabic 196","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13f5sxt%2F2256cg57/full/!200,200/0/default.jpg","","individuals","ark:/21198/z1bk2gmg","ark:/21198/z13f5sxt","Work","","Horologion","","1742","1742 CE","","","","","","","","","Kamil","","","103 ff.","234.8 g","Codex","158 x 118 x 34 mm","","Paper","","","","","Ornate headpieces on ff. 1r, 85r,  geometric hooks with an elevated cross | Minor geometric headpieces on ff. 8v, 10r | Red partial border on f. 39r, with a cross | Geometric decoration throughout, beginning on ff. 45v","","","","","","Rubrication|~|Dated|~|Marginalia|~|Headpiece(s)|~|Decoration, Geometric|~|Border(s), Decorative","f. 103 loose","text","Liturgical texts","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 196","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891652 ","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13f5sxt/manifest","delivery 1","217",""
"","","Sinai, St. Catherine’s Monastery, Arabic 197","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zp59fx%2Fkd61vr9m/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1zp59fx","Work","","Horologion","","1678","1678 CE","","","","","Followed by a short discourse on the Seven Gifts of Adam and the rule for determining feast days from the Typikon","","","","Kamil","","","281 ff.","435.3 g","Codex","154 x 112 x 50 mm","","Paper","","","","","Minor vegetative headpieces on ff. 2v, 102r, 145r, 167v | Ornate headpiece on f. 65v, red knotwork with fluerons | Decorations on ff. 70v, 167v, 169r, clover knot | Vegetative decoration on f. 98r | Red border on  f. 209r","","","","","","Rubrication|~|Dated|~|Marginalia|~|Headpiece(s)|~|Decoration, Geometric|~|Decoration, Vegetative|~|Border(s), Decorative","ff. 1–9 resewn higher. f. 10 loose. ff. 19–20 loose bifolio. ff. 148–65 rodent damage top corner.","text","Liturgical texts","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 197","Old Collection","https://www.loc.gov/item/00279384544-ms/","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zp59fx/manifest","delivery 1","572",""
"","","Sinai, St. Catherine’s Monastery, Arabic 198","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v13847%2Fn947j266/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1v13847","Work","","Horologion","","1788","1788 CE","","","","","","","","","Kamil","","","218 ff.","570.5 g","Codex","199 x 151 x 50 mm","","Paper","","","","","","","","","","","Rubrication|~|Dated|~|Marginalia","","text","Liturgical texts","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 198","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891653 ","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1v13847/manifest","delivery 1","446",""
"","","Sinai, St. Catherine’s Monastery, Arabic 222","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q82hfz%2Fsq97fc9r/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1q82hfz","Work","Liturgy of St. John Chrysostom and St. Basil","Liturgy of Saint John Chrysostom|~|Liturgy of Saint Basil","","1701/1800","18th c. CE","","John Chrysostom, Saint, -407","","","","","","","Kamil","","","106 ff.","228.3 g","Codex","152 x 111 x 26 mm","","Paper","","","","","Ornate headpiece on f. 4r, red and black lacework, with an elevated cross composed of diamonds; ff. 40r, 86r, diamond motif with an elevated cross | Geometric decoration on f. 93v | Decorated Greek initials throughout","","","","","","Rubrication|~|Marginalia|~|Headpiece(s)|~|Decoration, Geometric|~|Decoration, Vegetative|~|Initial(s), Decorated","","text","Liturgical texts","ara|~|grc","right-to-left","Arabic|~|Greek","Greek minuscule|~|Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 222","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003890958 ","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1q82hfz/manifest","delivery 1","222",""
"","","Sinai, St. Catherine’s Monastery, Arabic 224","Consecration of Deacons, Arabic and Greek","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kh1rmw%2F3340fv5h/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1kh1rmw","Work","","","","1401/1500","15th c. CE","","","","","","","","","Kamil","","","43 ff.","142.2 g","Codex","152 x 107 x 16 mm","","Paper","","","","","Minor headpiece on f. 3r, intertwined vines with thorns | Ornate headpiece on f. 17v, green and red knotwork with branches | Decorated Greek initials throughout","","","","","","Rubrication|~|Marginalia|~|Headpiece(s)|~|Initial(s), Decorated","","text","Liturgical texts","ara|~|grc","right-to-left","Arabic|~|Greek","Greek minuscule|~|Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 224","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891667 ","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1kh1rmw/manifest","delivery 1","96",""
"","","Sinai, St. Catherine’s Monastery, Arabic 233","Vigils of Nativity and Epiphany, Prayers and Canons","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fr10wj%2Fxp009j10/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1fr10wj","Work","","Horologion","","1695","1695 CE","","","","","","Colophon on f. 114v","","","Kamil","","","115 ff.","448.4 g","Codex","208 x 158 x 24 mm","","Paper","","","","","Border on f. 114r, red dots","","","","","","Rubrication|~|Dated|~|Marginalia|~|Colophon|~|Border(s), Decorative","","text","Liturgical texts","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 233","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871397 ","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1fr10wj/manifest","delivery 1","240",""
"","","Sinai, St. Catherine’s Monastery, Arabic 246","Life of Mary the Egyptian","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b0085j%2Fkb799q76/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1b0085j","Work","","","","1601/1800","17th c. CE","","Sophronius, Saint, Patriarch of Jerusalem, approximately 560-approximately 638","","","","","","","Kamil","","","68 ff.","196.9 g","Codex","173 x 116 x 18 mm","","Paper","","","","","Border on f. 26r, red dots and spirals; f. 27r, red lines","","","","","","Rubrication|~|Marginalia|~|Border(s), Decorative","","text","Historical works|~|Hagiographies","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 246","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871408 ","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1b0085j/manifest","delivery 1","146",""
"","","Sinai, St. Catherine’s Monastery, Arabic 247","Canons","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1669hh5%2Fsn71zc8w/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1669hh5","Work","Kontakion of Our Lady and Lectionary of Epistles and Gospels","Kontakarion|~|Lectionary","","1101/1200","12th c. CE","","","","","","","","","Kamil","","","257 ff.","922.8 g","Codex","180 x 140 x 71 mm","","Paper","ff. 11 and 193 lacking","","","","Minor geometric headpieces on ff. 244r, 253r","","","","","","Rubrication|~|Marginalia|~|Decoration, Geometric","","text","Liturgical texts|~|Lectionaries|~|Biblical texts|~|Hymnals","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 247","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871409 ","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1669hh5/manifest","delivery 1","526",""
"","","Sinai, St. Catherine’s Monastery, Arabic 249","Canons and Hymns for the feast of St. Catherine","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12f8rtw%2Fm1724790/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z12f8rtw","Work","","Troparion","","1701/1800","18th c. CE","","","","","","","","","Kamil","","","14 ff.","48.4 g","Codex","150 x 108 x 10 mm","","Paper","","","","","","","","","","","Rubrication|~|Marginalia","","text","Liturgical texts|~|Hymnals","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 249","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871411 ","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12f8rtw/manifest","delivery 1","38",""
