"File Name","Item Sequence","Title","Descriptive title","Thumbnail URL","viewingHint","Parent ARK","Item ARK","Object Type","AltTitle.other","AltTitle.uniform","Place of origin","Date.normalized","Date.creation","Scribe","Author","Associated name","Contents note","Colophon","Incipit","Explicit","References","Provenance","General note","Format.extent","Format.weight","Form","Format.dimensions","Support","Foliation","Page layout","Hand note","Illustrations note","Inscription","Additions","Binding note","Ink color","Features","Condition note","Type.typeOfResource","Type.genre","Language","Text direction","Writing system","Script","Script note","Rights.statementLocal","Rights contact","Name.repository","Shelfmark","Collection (physical)","Other version(s)","IIIF Manifest URL","delivery","image count"
"","","St. Catherine’s Monastery, Sinai Arabic 208","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v7139q%2F3d52xp4z/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1v7139q","Work","","Horologion","","1601/1700","17th c.","","","","","","","","Kamil","","","330 ff.","663.8 g","codex","168 x 141 x 77.0 mm","Paper","","","","Headpieces on ff. 100r, 115v, 130r, 144r, 158v, 174r, 184v, 212r, 243r, 255r, 317r ; Large cross decorations on ff. 129v, 143v, 158r","","","","","Headpiece(s)|~|Decoration, Full-page|~|Decoration, Geometric","","text","Liturgical texts","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 208","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871390/NLI","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1v7139q/manifest","6.2","668"
"","","St. Catherine’s Monastery, Sinai Arabic 212","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qg0bjj%2F2v81m144/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1qg0bjj","Work","","Horologion","","1201/1300","13th c.","","","","","","","","Kamil","","","116 ff.","725.7 g","codex","189 x 150 x 70.0 mm","Paper","","","","Minor headpieces on ff. 55v, 65v, 72v, 79r","","","","","Headpiece(s)","","text","Liturgical texts","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 212","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891657/NLI","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qg0bjj/manifest","6.2","242"
"","","St. Catherine’s Monastery, Sinai Arabic 214","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kp9kt8%2Fd033t95m/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1kp9kt8","Work","","Horologion","","1248","1248","","","","","","","","Kamil","","","127 ff.","901.6 g","codex","220 x 155 x 65.0 mm","Paper","","","","","","","","","Dated","","text","Liturgical texts","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 214","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891659/NLI","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1kp9kt8/manifest","6.2","264"
"","","St. Catherine’s Monastery, Sinai Arabic 217","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fx8v69%2Fbt08bv8s/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1fx8v69","Work","","Horologion","","1201/1300","13th c.","","","","","","","","Kamil","","","139 ff.","432.7 g","codex","146 x 153 x 65.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 217","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891662/NLI","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1fx8v69/manifest","6.2","288"
"","","St. Catherine’s Monastery, Sinai Arabic 223","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b583hq%2F32758b36/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1b583hq","Work","","Liturgy of Saint John Chrysostom|~|Liturgy of Saint Basil","","1774","1774","","John Chrysostom, Saint, -407|~|Basil, Saint, Bishop of Caesarea, approximately 329-379","","","","","","Kamil","","","138 ff.","701.3 g","codex","217 x 170 x 32.0 mm","Paper","","","","Elaborate head and tail pieces with gold illumination on ff. 3v, 8r, 15r, 15v, 44r, 47r, 47v, 48r, 60r, 60v, some with star and frond decorations ; Text surrounded by red and blue 3-line border ","","","","","Dated|~|Headpiece(s)|~|Illumination|~|Decoration, Vegetative|~|Decoration, Geometric|~|Border(s), Decorative","","text","Liturgical texts","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 223","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003890959/NLI","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1b583hq/manifest","6.2","289"
"","","St. Catherine’s Monastery, Sinai Arabic 226","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16h624t%2Ff350wk4t/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z16h624t","Work","Sticheraria and Canons","Sticherarion","","1201/1300","13th c.","","","","","","","","Kamil","","","239 ff.","715.7 g","codex","151 x 121 x 82.0 mm","Paper","","","","Full page decoration on f. 2r","","","","","Decoration, Full-page|~|Decoration, Zoomorphic|~|Decoration, Geometric","f. 133-135 split","text","Liturgical texts|~|Hymnals","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 226","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871392/NLI","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz16h624t/manifest","6.2","488"
"","","St. Catherine’s Monastery, Sinai Arabic 227","Prayers of SS Eustratius, Simeon the Miracle-Maker, John Climax and others","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12r59fj%2Fzh44xn11/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z12r59fj","Work","Kontakion of Our Lady, Theotokia, and Canon of Our Lady","Kontakarion","","1201/1300","13th c.","","","John, Climacus, Saint, active 6th century","Manuscript contains two Syriac interpolations","","","","Kamil","","","231 ff.","436.3 g","codex","146 x 119 x 62.0 mm","Paper","","","","","","","","","","","text","Liturgical texts|~|Hymnals","ara|~|syc","right-to-left","Arabic|~|Syriac","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 227","Sinai. Old Collection","https://www.loc.gov/item/00279384568-ms/","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz12r59fj/manifest","6.2","468"
"","","St. Catherine’s Monastery, Sinai Arabic 234","Canons","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z04svt%2Fgn49cv40/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1z04svt","Work","","","","1771","1771","","","","","","","","Kamil","","","73 ff.","273.5 g","codex","173 x 117 x 23.0 mm","Paper","","","","Colorful headpiece on f. 2v, with red, blue, green, yellow, purple, ochre","","","","","Dated|~|Headpiece(s)","","text","Liturgical texts","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 234","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871398/NLI","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1z04svt/manifest","6.2","156"
"","","St. Catherine’s Monastery, Sinai Arabic 236","Varia","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t7423f%2Fg878s529/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1t7423f","Work","","","","1298","1298","","","Andrew, of Crete, Saint, approximately 660-740","Book of Hours and Vigils of Nativity and Epiphany, Canon of obeisance by Andrew Bishop of Crete, Holy Communion Prayer, and discourse by St. Stephan of the Thebaid on monasticism","","","","Kamil","","","218 ff.","793.5 g","codex","195 x 135 x 70.0 mm","Paper","","","","","","","","","Dated","","text","Liturgical texts|~|Theological works","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 236","Sinai. Old Collection","https://www.loc.gov/item/00279384581-ms/","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1t7423f/manifest","6.2","448"
"","","St. Catherine’s Monastery, Sinai Arabic 238","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pg39cq%2Fg228zw0g/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1pg39cq","Work","Prayers, Horologion, and Canons","Horologion","","1201/1300","13th c.","","","","","","","","Kamil","","","371 ff.","1255.3 g","codex","181 x 148 x 92.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 238","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871401/NLI","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1pg39cq/manifest","6.2","752"
"","","St. Catherine’s Monastery, Sinai Arabic 239"," Canon of Obeisance by Andrew Bishop of Crete","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jq2jqw%2Fqb36wf0m/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1jq2jqw","Work","Kontakion of Our Lady","Kontakarion","","1101/1200","12th c.","","Andrew, of Crete, Saint, approximately 660-740","","","","","","Kamil","","","87 ff.","296.7 g","codex","164 x 133 x 33.0 mm","Paper","","","","","","","","","","","text","Liturgical texts|~|Hymnals","ara|~|grc","right-to-left","Arabic|~|Greek","Naskh|~|Greek minuscule","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 239","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871402/NLI","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1jq2jqw/manifest","6.2","180"
"","","St. Catherine’s Monastery, Sinai Arabic 24","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x655nt%2F6699zm1m/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1x655nt","Work","Psalter and Odes","Bible. Psalms|~|Bible. Odes|~|Psalter","","1301/1400","14th c.","","","","","","","","Kamil","","","210 ff.","842.6 g","codex","169 x 145 x 83.0 mm","Paper","f.20-29 repeats","","","","","","","","","","text","Biblical texts|~|Liturgical texts","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 24","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891578/NLI","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1x655nt/manifest","6.2","428"
"","","St. Catherine’s Monastery, Sinai Arabic 251","Prayers","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dz1t3x%2Fmr71g508/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1dz1t3x","Work","","","","1701/1800","18th c.","","","","","","","","Kamil","","","103 ff.","548.8 g","codex","226 x 166 x 29.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 251","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871412/NLI","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dz1t3x/manifest","6.2","218"
