Shelfmark,References,References with page numbers,Descriptive title,AltTitle.uniform,Collection,delivery
Sinai Arabic 382,Kamil,,,"Antiochus, monk of Palestine, active 7th century. Pandektēs",Old Collection,delivery 1
Sinai Arabic 413,Kamil,,,Synaxarion,Old Collection,delivery 1
Sinai Arabic 414,Kamil,,,Synaxarion,Old Collection,delivery 1
Sinai Arabic 425,Kamil,,,Kontakarion,Old Collection,delivery 1
Sinai Arabic 434,Kamil,,"Mimars, Apophthegmata, Sermons, Commentaries and Theological Discourses",,Old Collection,delivery 1
Sinai Arabic 435,Kamil,,Mimars,,Old Collection,delivery 1
Sinai Arabic 449,Kamil,,,"Liturgy of Saint Basil|~|John Chrysostom, Saint, -407. Homilies on Genesis",Old Collection,delivery 1
Sinai Arabic 450,Kamil,,Apophthegmata ; Mimars by SS. John Chrysostom and Dorotheus,Evangelion,Old Collection,delivery 1
Sinai Arabic 451,Kamil,,Mimars ; Epistles ; Sermons,,Old Collection,delivery 1
Sinai Arabic 469,Kamil,,"Mimars, Apophthegmata, and other Theological works",,Old Collection,delivery 1
Sinai Arabic 472,Kamil,,Hayākil al-nūr by Shihab al-Din ; The Life of St. Pantaleon ; Prayers,"John Chrysostom, Saint, -407. Homilies on John",Old Collection,delivery 1
Sinai Arabic 473,Kamil,,Lives of Saints,Bible. Epistles,Old Collection,delivery 1
Sinai Arabic 487,Kamil,,Lives of Saints ; Prayers,,Old Collection,delivery 1
Sinai Arabic 494,Kamil,,Forty-three theological discourses known as the Book of the Master and the Pupil written by St. Thaddeus of Edessa,,Old Collection,delivery 1
Sinai Arabic 499,Kamil,,Book of the Master and the Pupil by St. Thaddeus of Edessa,,Old Collection,delivery 1
Sinai Arabic 501,Kamil,,Prayers and Varia,,Old Collection,delivery 1
Sinai Arabic 57,Kamil,,,Bible. Psalms|~|Bible. Odes|~|Psalter,Old Collection,delivery 1
Sinai Arabic 582,Kamil,,A Universal History,,Old Collection,delivery 1
Sinai Arabic 60,Kamil,,,Bible. Psalms|~|Bible. Odes|~|Psalter,Old Collection,delivery 1
Sinai Arabic 602,Kamil,,,Prophetologion,Old Collection,delivery 1
Sinai Arabic 624,Kamil,,Prayers,Liturgy of Saint John Chrysostom,Old Collection,delivery 1
Sinai Arabic 628,LOC,,,Bible. Gospels,Old Collection,delivery 1
Sinai Arabic 65,Kamil,,,Bible. Psalms|~|Psalter,Old Collection,delivery 1
Sinai Arabic 67,Kamil,,,Bible. Psalms|~|Psalter,Old Collection,delivery 1
Sinai Arabic 7,Kamil,,,Bible. Chronicles,Old Collection,delivery 1
Sinai Arabic 9,Kamil,,,Bible. Old Testament,Old Collection,delivery 1
Sinai Syriac 126,Kamil,,,Anthologion,Old Collection,delivery 1
Sinai Syriac 127,Kamil,,Services,,Old Collection,delivery 1
Sinai Syriac 129,Kamil,,,Typikon,Old Collection,delivery 1
Sinai Syriac 190,Kamil,,,Triodion,Old Collection,delivery 1
Sinai Syriac 202,Kamil,,Services,,Old Collection,delivery 1
Sinai Syriac 208,Kamil,,,Octoechos,Old Collection,delivery 1
Sinai Arabic 129,Kamil,,,Evangelion,Old Collection,delivery 2
Sinai Arabic 135,Kamil,,,Evangelion,Old Collection,delivery 2
Sinai Arabic 136,Kamil,,,Evangelion,Old Collection,delivery 2
Sinai Arabic 143,Kamil,,,Evangelion,Old Collection,delivery 2
Sinai Arabic 149,Kamil,,,Lectionary,Old Collection,delivery 2
Sinai Arabic 175,Kamil,,,Lectionary,Old Collection,delivery 2
Sinai Arabic 188,Kamil,,,Horologion,Old Collection,delivery 2
Sinai Arabic 194,Kamil,,,Horologion,Old Collection,delivery 2
Sinai Arabic 195,Kamil,,,Horologion,Old Collection,delivery 2
Sinai Arabic 199,Kamil,,,Horologion,Old Collection,delivery 2
Sinai Arabic 205,Kamil,,,Horologion,Old Collection,delivery 2
Sinai Arabic 229,Kamil,,Prayers and Theotokia,Sticherarion,Old Collection,delivery 2
Sinai Arabic 240,Kamil,,Canons and Theotokia,Troparion,Old Collection,delivery 2
Sinai Arabic 252,Kamil,,Kathismata for feasts,Bible. Psalms|~|Psalter,Old Collection,delivery 2
Sinai Arabic 260,Kamil,,,Euchologion,Old Collection,delivery 2
Sinai Arabic 265,Kamil,,,Typikon,Old Collection,delivery 2
Sinai Arabic 276,Kamil,,Mimars by St. Gregory the Theologian,,Old Collection,delivery 2
Sinai Arabic 295,Kamil,,,"John Chrysostom, Saint, -407. Homilies on John",Old Collection,delivery 2
Sinai Arabic 32,Kamil,,,Bible. Psalms|~|Bible. Odes|~|Psalter,Old Collection,delivery 2
Sinai Arabic 367,Kamil,,Sayings of St. Dorotheus. Different Mimars,,Old Collection,delivery 2
Sinai Arabic 408,Kamil,,,Menologion,Old Collection,delivery 2
Sinai Arabic 409,Kamil,,,Menologion,Old Collection,delivery 2
Sinai Arabic 411,Kamil,,Lives of Saints and Martyrdoms,,Old Collection,delivery 2
Sinai Arabic 419,Kamil,,,Synaxarion,Old Collection,delivery 2
Sinai Arabic 420,Kamil,,,Synaxarion,Old Collection,delivery 2
Sinai Arabic 43,Kamil,,,Bible. Psalms|~|Bible. Odes|~|Psalter,Old Collection,delivery 2
Sinai Arabic 441,Kamil,,"Mimars, Lives of Saints, and Varia",,Old Collection,delivery 2
Sinai Arabic 454,Kamil,,Varia,,Old Collection,delivery 2
Sinai Arabic 466,Kamil,,Canons,Sticherarion|~|Kontakarion,Old Collection,delivery 2
Sinai Arabic 496,Kamil,,Apophthegmata ; Lives of Saints,,Old Collection,delivery 2
Sinai Arabic 508,Kamil,,Lives of Saints ; Mimars,,Old Collection,delivery 2
Sinai Arabic 510,Kamil,,Selection of Mimars ; The story of John of Dailam,,Old Collection,delivery 2
Sinai Arabic 532,Kamil,,Martyrdoms and Lives of Saints ; Mimars,,Old Collection,delivery 2
Sinai Arabic 548,Kamil,,Paradise of the Fathers ; Mimars,,Old Collection,delivery 2
Sinai Arabic 581,Kamil,,Mimars (9) by Theodore Bishop of Harrān,,Old Collection,delivery 2
Sinai Arabic 621,Kamil,,Commentary on the Epistle to the Romans by St. John Chrysostom,,Old Collection,delivery 2
Sinai Arabic 680,Kamil,,,Evangelion,Old Collection,delivery 2
Sinai Arabic 69,Kamil,,,Bible. Gospels,Old Collection,delivery 2
Sinai Arabic 695,Kamil,,Covenant of the Prophet Muhammad in Arabic,,Old Collection,delivery 2
Sinai Arabic 81,Kamil,,,Bible. Gospels,Old Collection,delivery 2
Sinai Arabic 85,Kamil,,Mimars,Bible. Revelation,Old Collection,delivery 2
Sinai Syriac 105,Kamil,,,Menologion,Old Collection,delivery 2
Sinai Syriac 1B,Kamil,,,Evangelion,Old Collection,delivery 2
Sinai Syriac 240,Kamil,,,Bible. Psalms,Old Collection,delivery 2
Sinai Syriac 269,Kamil,,,Evangelion,Old Collection,delivery 2
Sinai Syriac 271,Kamil,,,Evangelion,Old Collection,delivery 2
Sinai Syriac 43,Kamil,,,Horologion,Old Collection,delivery 2
Sinai Arabic 117,Kamil,,,Evangelion,Old Collection,delivery 3
Sinai Arabic 121,Kamil,,,Evangelion,Old Collection,delivery 3
Sinai Arabic 127,Kamil,,,Evangelion,Old Collection,delivery 3
Sinai Arabic 142,Kamil,,,"John Chrysostom, Saint, -407. Homilies on the Gospel of Saint Matthew",Old Collection,delivery 3
Sinai Arabic 162,Kamil,,,Bible. Acts|~|Bible. Epistles,Old Collection,delivery 3
Sinai Arabic 170,Kamil,,,Lectionary,Old Collection,delivery 3
Sinai Arabic 176,Kamil,,,Lectionary,Old Collection,delivery 3
Sinai Arabic 179,Kamil,,,Lectionary,Old Collection,delivery 3
Sinai Arabic 264,Kamil,,,Typikon,Old Collection,delivery 3
Sinai Arabic 271,Kamil,,Commentary on Psalms ; Commentary by St. Basil the Great Archbishop of Caesarea,,Old Collection,delivery 3
Sinai Arabic 281,Kamil,,,"John Chrysostom, Saint, -407. Homilies on Genesis",Old Collection,delivery 3
Sinai Arabic 283,Kamil,,,"John Chrysostom, Saint, -407. Homilies on Genesis",Old Collection,delivery 3
Sinai Arabic 290,Kamil,,,"John Chrysostom, Saint, -407. Homilies on the Gospel of Saint Matthew",Old Collection,delivery 3
Sinai Arabic 301,Kamil,,,"John Chrysostom, Saint, -407. Homilies on the Epistle to the Hebrews",Old Collection,delivery 3
Sinai Arabic 302,Kamil,,,"John Chrysostom, Saint, -407. Homilies on the Epistle to the Hebrews",Old Collection,delivery 3
Sinai Arabic 303,Kamil,,,"John Chrysostom, Saint, -407. Homilies on the Epistle to the Hebrews",Old Collection,delivery 3
Sinai Arabic 304,Kamil,,Homilies of St. John Chrysostom,,Old Collection,delivery 3
Sinai Arabic 309,Kamil,,"Homilies of St. Cyril, Patriarch of Jerusalem ; Sermons of Archbishop John of Jerusalem",,Old Collection,delivery 3
Sinai Arabic 312,Kamil,,Mimars by St. Ephraem,,Old Collection,delivery 3
Sinai Arabic 315,Kamil,,Mimars by St. Ephraem,,Old Collection,delivery 3
Sinai Arabic 326,Kamil,,"Teaching and Homilies of St. Theodore, Abbot of the Monastery of Stodion",,Old Collection,delivery 3
Sinai Arabic 331,Kamil,,Mimars of St. John Climax,,Old Collection,delivery 3
Sinai Arabic 334,Kamil,,Mimars of St. John Climax,,Old Collection,delivery 3
Sinai Arabic 336,Kamil,,Mimars of St. John Climax,,Old Collection,delivery 3
Sinai Arabic 365,Kamil,,Sayings of St. Dorotheus,,Old Collection,delivery 3
Sinai Arabic 373,Kamil,,,"Antiochus, monk of Palestine, active 7th century. Pandektēs",Old Collection,delivery 3
Sinai Arabic 387,Kamil,,,"Nikon of the Black Mountain, ca. 1025-ca. 1100. Pandektēs",Old Collection,delivery 3
Sinai Arabic 391,Kamil,,The Twelve Chapters of St. Cyril’s excommunication of Nestorius ; Canons,,Old Collection,delivery 3
Sinai Arabic 395,Kamil,,,Menologion,Old Collection,delivery 3
Sinai Arabic 396,Kamil,,,Menologion,Old Collection,delivery 3
Sinai Arabic 397,Kamil,,,Menologion,Old Collection,delivery 3
Sinai Arabic 398,Kamil,,,Menologion,Old Collection,delivery 3
Sinai Arabic 400,Kamil,,,Menologion,Old Collection,delivery 3
Sinai Arabic 401,Kamil,,,Menologion,Old Collection,delivery 3
Sinai Arabic 402,Kamil,,,Menologion,Old Collection,delivery 3
Sinai Arabic 403,Kamil,,,Menologion,Old Collection,delivery 3
Sinai Arabic 405,Kamil,,,Menologion,Old Collection,delivery 3
Sinai Arabic 406,Kamil,,,Menologion,Old Collection,delivery 3
Sinai Arabic 407,Kamil,,,Menologion,Old Collection,delivery 3
Sinai Arabic 412,Kamil,,,Synaxarion,Old Collection,delivery 3
Sinai Arabic 417,Kamil,,,Synaxarion,Old Collection,delivery 3
Sinai Arabic 423,Kamil,,,Menologion,Old Collection,delivery 3
Sinai Arabic 456,Kamil,,Varia,,Old Collection,delivery 3
Sinai Arabic 476,Kamil,,Apophthegmata ; Mimars ; Epistles,,Old Collection,delivery 3
Sinai Arabic 483,Kamil,,Book of “The Spiritual Paradise”,,Old Collection,delivery 3
Sinai Arabic 492,Kamil,,Paradise of the Fathers ; Mimars,,Old Collection,delivery 3
Sinai Arabic 503,Kamil,,Life of St. Gregory of Sicily ; Life of Gregory the Miracle-Maker,,Old Collection,delivery 3
Sinai Arabic 506,Kamil,,Mimars ; Paradise of the Fathers,Barlaam and Joasaph,Old Collection,delivery 3
Sinai Arabic 53,Kamil,,,Bible. Psalms|~|Psalter,Old Collection,delivery 3
Sinai Arabic 538,Kamil,,Lives of Saints,,Old Collection,delivery 3
Sinai Arabic 558,Kamil,,Lives of Saints ; Paradise of the Fathers,,Old Collection,delivery 3
Sinai Arabic 569,Kamil,,,"Nikon of the Black Mountain, ca. 1025-ca. 1100. Pandektēs",Old Collection,delivery 3
Sinai Arabic 570,Kamil,,Varia,,Old Collection,delivery 3
Sinai Arabic 594,Kamil,,,Prophetologion,Old Collection,delivery 3
Sinai Arabic 596,Kamil,,,Prophetologion,Old Collection,delivery 3
Sinai Arabic 626,Kamil,,"Commentary on the Epistles to the Hebrews by St. John Chrysostom, in 34 discourses",,Old Collection,delivery 3
Sinai Arabic 678,Kamil,,,Octoechos,Old Collection,delivery 3
Sinai Arabic 683,Kamil,,,Anthologion,Old Collection,delivery 3
Sinai Arabic 685,Kamil,,,Pentekostarion,Old Collection,delivery 3
Sinai Arabic 686,Kamil,,,Anthologion,Old Collection,delivery 3
Sinai Arabic 71,Kamil,,,Bible. Gospels,Old Collection,delivery 3
Sinai Arabic 75,Kamil,,,Bible. Gospels,Old Collection,delivery 3
Sinai Arabic 80,Kamil,,,Bible. Gospels,Old Collection,delivery 3
Sinai Arabic 89,Kamil,,,Bible. Gospels,Old Collection,delivery 3
Sinai Arabic 93,Kamil,,,Bible. Gospels,Old Collection,delivery 3
Sinai Arabic 99,Kamil,,,Bible. Gospels,Old Collection,delivery 3
Sinai Syriac 182,Kamil,,,Menologion,Old Collection,delivery 3
Sinai Syriac 183,Kamil,,,Triodion,Old Collection,delivery 3
Sinai Syriac 184,Kamil,,Services,,Old Collection,delivery 3
Sinai Syriac 186,Kamil,,Services,,Old Collection,delivery 3
Sinai Syriac 189,Kamil,,,Synaxarion,Old Collection,delivery 3
Sinai Syriac 195,Kamil,,,Menologion,Old Collection,delivery 3
Sinai Syriac 207,Kamil,,,Triodion,Old Collection,delivery 3
Sinai Syriac 210,Kamil,,,Octoechos,Old Collection,delivery 3
Sinai Syriac 211,Kamil,,,Triodion,Old Collection,delivery 3
Sinai Syriac 214,Kamil,,,Lectionary,Old Collection,delivery 3
Sinai Syriac 216,Kamil,,,Lectionary,Old Collection,delivery 3
Sinai Syriac 217,Kamil,,,Evangelion,Old Collection,delivery 3
Sinai Syriac 219,Kamil,,,Evangelion,Old Collection,delivery 3
Sinai Syriac 220,Kamil,,Services,,Old Collection,delivery 3
Sinai Syriac 232,Kamil,,,Troparion,Old Collection,delivery 3
Sinai Syriac 234,Kamil,,,Prophetologion,Old Collection,delivery 3
Sinai Syriac 238,Kamil,,,Evangelion,Old Collection,delivery 3
Sinai Syriac 2A,Kamil,,,Bible. Gospels,Old Collection,delivery 3
Sinai Syriac 45,Kamil,,Services,,Old Collection,delivery 3
Sinai Syriac 70,Kamil,,,Triodion,Old Collection,delivery 3
Sinai Syriac 84,Kamil,,,Menologion,Old Collection,delivery 3
Sinai Syriac 86,Kamil,,,Menologion,Old Collection,delivery 3
Sinai Syriac 87,Kamil,,,Menologion,Old Collection,delivery 3
Sinai Syriac 88,Kamil,,,Menologion,Old Collection,delivery 3
Sinai Syriac 95,Kamil,,Services,,Old Collection,delivery 3
Sinai Syriac 97,Kamil,,,Octoechos,Old Collection,delivery 3
Sinai Arabic 102,Kamil,,,Bible. Gospels,Old Collection,delivery 4.1
Sinai Arabic 108,Kamil,,,Bible. Gospels,Old Collection,delivery 4.1
Sinai Arabic 109,Kamil,,,Bible. Gospels,Old Collection,delivery 4.1
Sinai Arabic 113,Kamil,,,Bible. Gospels,Old Collection,delivery 4.1
Sinai Arabic 116,Kamil,,,Lectionary,Old Collection,delivery 4.1
Sinai Arabic 132,Kamil,,,Evangelion,Old Collection,delivery 4.1
Sinai Arabic 137,Kamil,,,Evangelion,Old Collection,delivery 4.1
Sinai Arabic 139,Kamil,,,Evangelion,Old Collection,delivery 4.1
Sinai Arabic 172,Kamil,,,Lectionary,Old Collection,delivery 4.1
Sinai Arabic 173,Kamil,,,Lectionary,Old Collection,delivery 4.1
Sinai Arabic 178,Kamil,,,Lectionary,Old Collection,delivery 4.1
Sinai Arabic 18,Kamil,,,Prophetologion,Old Collection,delivery 4.1
Sinai Arabic 231,Kamil,,,Troparion,Old Collection,delivery 4.1
Sinai Arabic 25,Kamil,,,Bible. Psalms|~|Horologion|~|Psalter,Old Collection,delivery 4.1
Sinai Arabic 293,Kamil,,,"John Chrysostom, Saint, -407. Homilies on John",Old Collection,delivery 4.1
Sinai Arabic 294,Kamil,,,"John Chrysostom, Saint, -407. Homilies on John",Old Collection,delivery 4.1
Sinai Arabic 333,Kamil,,Mimars of St. John Climax,,Old Collection,delivery 4.1
Sinai Arabic 354,Kamil,,"Mimars of St. Isaac the Syrian ; Apophthegmata ; Treatises by SS. Gregory, Basil and John Chrysostom",,Old Collection,delivery 4.1
Sinai Arabic 359,Kamil,,The Spiritual Paradise of the Fathers ; Sayings of St. Dorotheus,,Old Collection,delivery 4.1
Sinai Arabic 360,Kamil,,Paradise of the Fathers ; Sayings of St. Dorotheus,,Old Collection,delivery 4.1
Sinai Arabic 368,Kamil,,Miscellaneous Mimars,,Old Collection,delivery 4.1
Sinai Arabic 380,Kamil,,,"Antiochus, monk of Palestine, active 7th century. Pandektēs",Old Collection,delivery 4.1
Sinai Arabic 383,Kamil,,41 Problems by St. Simeon ; Book of 400 Chapters by St. Thalassius,,Old Collection,delivery 4.1
Sinai Arabic 42,Kamil,,,Bible. Psalms|~|Bible. Odes|~|Psalter,Old Collection,delivery 4.1
Sinai Arabic 422,Kamil,,,Synaxarion,Old Collection,delivery 4.1
Sinai Arabic 44,Kamil,,,Bible. Psalms|~|Bible. Odes|~|Psalter,Old Collection,delivery 4.1
Sinai Arabic 443,Kamil,,Mimars ; Lives of Saints ; Martyrdoms,,Old Collection,delivery 4.1
Sinai Arabic 446,Kamil,,"Mimars by SS. Macarius, Basil, Isaac the Syrian, Ephraem the Syrian and Maximus",,Old Collection,delivery 4.1
Sinai Arabic 455,LOC,,"Mimars, Lives of Saints and Old Testament",,Old Collection,delivery 4.1
Sinai Arabic 457,Kamil,,Varia,,Old Collection,delivery 4.1
Sinai Arabic 48,Kamil,,,Bible. Psalms|~|Bible. Odes|~|Psalter,Old Collection,delivery 4.1
Sinai Arabic 66,Kamil,,,Bible. Psalms|~|Psalter,Old Collection,delivery 4.1
Sinai Arabic 77,Kamil,,,Bible. Gospels,Old Collection,delivery 4.1
Sinai Arabic 79,Kamil,,,Bible. Gospels,Old Collection,delivery 4.1
Sinai Arabic 83,Kamil,,,Bible. Gospels,Old Collection,delivery 4.1
Sinai Arabic 87,Kamil,,,Bible. Gospels,Old Collection,delivery 4.1
Sinai Arabic 88,Kamil,,,Bible. Gospels,Old Collection,delivery 4.1
Sinai Arabic 91,Kamil,,,Bible. Gospels,Old Collection,delivery 4.1
Sinai Arabic 460,Kamil,,Lives of Saints and Martyrdoms,,Old Collection,delivery 4.2
Sinai Arabic 474,Kamil,,Mimars and Martyrdoms,,Old Collection,delivery 4.2
Sinai Arabic 475,Kamil,,"Mimars, Lives of Saints, Epistles",,Old Collection,delivery 4.2
Sinai Arabic 477,Kamil,,Varia,,Old Collection,delivery 4.2
Sinai Arabic 489,Kamil,,,Bible. Genesis,Old Collection,delivery 4.2
Sinai Arabic 507,Kamil,,Commentary on Gospels for the Holy Week ; Martyrdom of St. Gregory,,Old Collection,delivery 4.2
Sinai Arabic 509,Kamil,,Mimars ; Apophthegmata ; Lives of Saints,,Old Collection,delivery 4.2
Sinai Arabic 520,Kamil,,Martyrdoms and Lives of Saints ; Mimars,,Old Collection,delivery 4.2
Sinai Arabic 529,Kamil,,Lives of SS. John Chrysostom and Irene,,Old Collection,delivery 4.2
Sinai Arabic 535,Kamil,,Martyrdoms and Lives of Saints ; Mimars,,Old Collection,delivery 4.2
Sinai Arabic 536,Kamil,,Paradise of the Fathers ; Lives of Saints,,Old Collection,delivery 4.2
Sinai Arabic 541,Kamil,,Life of St. Pachomius and some of his disciples,,Old Collection,delivery 4.2
Sinai Arabic 560,Kamil,,Mimars,,Old Collection,delivery 4.2
Sinai Arabic 565,Kamil,,Paradise of the Fathers,,Old Collection,delivery 4.2
Sinai Arabic 578,Kamil,,The diseases of the eye and their treatment by ‘Alī ibn Īsā,,Old Collection,delivery 4.2
Sinai Arabic 587,Kamil,,,Horologion,Old Collection,delivery 4.2
Sinai Arabic 625,Kamil,,Two religious debates between a Moslem prince and a Christian monk in presence of the Caliph,,Old Collection,delivery 4.2
Sinai Arabic 676,Kamil,,Treatises (34) by John Chrysostom,,Old Collection,delivery 4.2
Sinai Arabic 696,Kamil,,Covenant of the Prophet,,Old Collection,delivery 4.2
Sinai Arabic 699,,,,Octoechos,Old Collection,delivery 4.2
Sinai Arabic 702,,,Varia,,Old Collection,delivery 4.2
Sinai Greek 35,Kamil,,,Bible. Psalms,Old Collection,delivery 4.2
Sinai Greek 36,Kamil,,,Bible. Psalms|~|Bible. Odes|~|Psalter,Old Collection,delivery 4.2
Sinai Syriac 106,Kamil,,,Horologion,Old Collection,delivery 4.2
Sinai Syriac 107,Kamil,,,Octoechos,Old Collection,delivery 4.2
Sinai Syriac 13,Kamil,,,Lectionary,Old Collection,delivery 4.2
Sinai Syriac 14,Kamil,,"Sayings of SS. Macarius, John Carpatheus, Isaac the Syrian and Gregory Nazienzis",,Old Collection,delivery 4.2
Sinai Syriac 227,Kamil,,,Evangelion,Old Collection,delivery 4.2
Sinai Syriac 229,Kamil,,,Lectionary,Old Collection,delivery 4.2
Sinai Syriac 259,Kamil,,,Evangelion,Old Collection,delivery 4.2
Sinai Syriac 266,Kamil,,,Troparion,Old Collection,delivery 4.2
Sinai Syriac 35,Kamil,,,Bible. Samuel,Old Collection,delivery 4.2
Sinai Syriac 50,Kamil,,,Sticherarion,Old Collection,delivery 4.2
Sinai Syriac 76,Kamil,,,Evangelion,Old Collection,delivery 4.2
Sinai Syriac 8,Kamil,,,Prophetologion,Old Collection,delivery 4.2
Sinai Syriac 93,Kamil,,Services,,Old Collection,delivery 4.2
Sinai Syriac 94,Kamil,,,Lectionary,Old Collection,delivery 4.2
Sinai Syriac 96,Kamil,,Services,,Old Collection,delivery 4.2
Sinai Arabic 10,Kamil,,,Bible. Pentateuch|~|Bible. Old Testament,Old Collection,delivery 4.3
Sinai Arabic 104,Kamil,,,Bible. Gospels,Old Collection,delivery 4.3
Sinai Arabic 110,Kamil,,,Bible. Gospels,Old Collection,delivery 4.3
Sinai Arabic 112,Kamil,,,Bible. Gospels,Old Collection,delivery 4.3
Sinai Arabic 12,Kamil,,,Prophetologion,Old Collection,delivery 4.3
Sinai Arabic 122,Kamil,,,Evangelion,Old Collection,delivery 4.3
Sinai Arabic 130,Kamil,,,Evangelion,Old Collection,delivery 4.3
Sinai Arabic 15,Kamil,,,Prophetologion,Old Collection,delivery 4.3
Sinai Arabic 150,Kamil,,,Lectionary,Old Collection,delivery 4.3
Sinai Arabic 163,Kamil,,,Lectionary,Old Collection,delivery 4.3
Sinai Arabic 164,Kamil,,,Bible. Acts|~|Bible. Epistles,Old Collection,delivery 4.3
Sinai Arabic 174,Kamil,,,Lectionary,Old Collection,delivery 4.3
Sinai Arabic 250,Kamil,,Varia,Kontakarion|~|Sticherarion,Old Collection,delivery 4.3
Sinai Arabic 267,Kamil,,,Typikon,Old Collection,delivery 4.3
Sinai Arabic 274,Kamil,,Mimars by St. Gregory the Theologian,,Old Collection,delivery 4.3
Sinai Arabic 282,Kamil,,,"John Chrysostom, Saint, -407. Homilies on Genesis",Old Collection,delivery 4.3
Sinai Arabic 285,Kamil,,,"John Chrysostom, Saint, -407. Homilies on the Gospel of Saint Matthew",Old Collection,delivery 4.3
Sinai Arabic 286,Kamil,,,"John Chrysostom, Saint, -407. Homilies on the Gospel of Saint Matthew",Old Collection,delivery 4.3
Sinai Arabic 287,Kamil,,,"John Chrysostom, Saint, -407. Homilies on the Gospel of Saint Matthew",Old Collection,delivery 4.3
Sinai Arabic 308,Kamil,,Six Mimars on Priesthood by St. John Chrysostom,,Old Collection,delivery 4.3
Sinai Arabic 31,Kamil,,,Bible. Psalms|~|Psalter,Old Collection,delivery 4.3
