"File Name","Item Sequence","Title","Descriptive title","Thumbnail URL","viewingHint","Parent ARK","Item ARK","Object Type","AltTitle.other","AltTitle.uniform","Place of origin","Date.normalized","Date binding","Date.creation","Scribe","Author","Associated name","Translator","Contents note","Colophon","Incipit","Explicit","References","Provenance","General note","Format.extent","Form","Format.dimensions","Support","Foliation","Page layout","Hand note","Illustrations note","Inscription","Additions","Binding note","Ink color","Features","Condition note","Type.typeOfResource","Type.genre","Language","Text direction","Writing system","Script","Script note","Rights.statementLocal","Rights contact","Name.repository","Shelfmark","Collection (physical)","Other version(s)","image count","IIIF Manifest URL","delivery"
"","","St. Catherine's Monastery, Sinai Syriac 136","Typikon (St. Sabas)","","paged","ark:/21198/z1bk2gmg","ark:/21198/z19g75hz","Work","","Typikon","","1201/1300","","13th c.","","","","","","","","","Kamil","","","258 ff. ; 1032.5 g","codex","178 x 145 x 80.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 136","Sinai. Old Collection","https://www.loc.gov/item/00279388537-ms/","534","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz19g75hz/manifest","delivery 5.2"
"","","St. Catherine's Monastery, Sinai Syriac 137","Services","","paged","ark:/21198/z1bk2gmg","ark:/21198/z15q6drs","Work","","","","1201/1300","","13th c.","","","","","","","","","Kamil","","","207 ff. ; 992.4 g","codex","200 x 144 x 75.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 137","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891724","426","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz15q6drs/manifest","delivery 5.2"
"","","St. Catherine's Monastery, Sinai Syriac 140","Euchologia","","paged","ark:/21198/z1bk2gmg","ark:/21198/z11z5p2x","Work","","Euchologion","","1221","","1221","","","","","","","","","Kamil","","","311 ff. ; 1006.8 g","codex","170 x 142 x 86.0 mm","Paper","","","","","","","","","Dated","","text","Liturgical texts","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 140","Sinai. Old Collection","https://www.loc.gov/item/00279388513-ms/","632","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11z5p2x/manifest","delivery 5.2"
"","","St. Catherine's Monastery, Sinai Syriac 142","Horologion","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1x655mc","Work","","Horologion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","178 ff. ; 771.1 g","codex","181 x 142 x 63.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 142","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891727","366","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1x655mc/manifest","delivery 5.2"
"","","St. Catherine's Monastery, Sinai Syriac 146","Services","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1sf4dx3","Work","","","","1188","","1188","","","","","","","","","Kamil","","","107 ff. ; 575 g","codex","176 x 137 x 46.0 mm","Paper","","","","","","","","","Dated","","text","Liturgical texts","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 146","Sinai. Old Collection","https://www.loc.gov/item/00279388483-ms/","224","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1sf4dx3/manifest","delivery 5.2"
"","","St. Catherine's Monastery, Sinai Syriac 147","Services","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1ns2cm3","Work","","","","1201/1300","","13th c.","","","","","","","","","Kamil","","","84 ff. ; 394.6 g","codex","180 x 147 x 34.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 147","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871442","182","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ns2cm3/manifest","delivery 5.2"
"","","St. Catherine's Monastery, Sinai Syriac 148","Sticherarion","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1j11mx4","Work","","Sticherarion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","191 ff. ; 714.3 g","codex","180 x 135 x 59.0 mm","Paper","folios 1-4 are upside down","","","","","","","","","","text","Liturgical texts|~|Hymnals","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 148","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871443","392","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1j11mx4/manifest","delivery 5.2"
"","","St. Catherine's Monastery, Sinai Syriac 162","Psalms","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1d80w3g","Work","","Bible. Psalms","","1201/1300","","13th c.","","","","","","","","","Kamil","","","157 ff. ; 655 g","codex","174 x 136 x 65.0 mm","Paper","","","","","","","","","","","text","Biblical texts","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 162","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871448","324","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1d80w3g/manifest","delivery 5.2"
"","","St. Catherine's Monastery, Sinai Syriac 199","Lectionary of Old Testament","","paged","ark:/21198/z1bk2gmg","ark:/21198/z18h04bp","Work","","Lectionary","","1295","","1295","","","","","","","","","Kamil","","","219 ff. ; 906.4 g","codex","210 x 144 x 67.0 mm","Paper","","","","","","","","","Dated","","text","Lectionaries|~|Liturgical texts|~|Biblical texts","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 199","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891737","448","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz18h04bp/manifest","delivery 5.2"
"","","St. Catherine's Monastery, Sinai Syriac 200","Lectionary of Gospels","","paged","ark:/21198/z1bk2gmg","ark:/21198/z14q9cmd","Work","","Evangelion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","389 ff. ; 864.1 g","codex","150 x 117 x 95.0 mm","Paper","","","","","","","","","","","text","Lectionaries|~|Liturgical texts|~|Biblical texts|~|Gospel books","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 200","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871472","788","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz14q9cmd/manifest","delivery 5.2"
"","","St. Catherine's Monastery, Sinai Syriac 221","Sticherarion","","paged","ark:/21198/z1bk2gmg","ark:/21198/z10z8mzk","Work","","Sticherarion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","226 ff. ; 929.7 g","codex","182 x 140 x 89.0 mm","Paper","","","","","","","","","","","text","Liturgical texts|~|Hymnals","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 221","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871478","462","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10z8mzk/manifest","delivery 5.2"
"","","St. Catherine's Monastery, Sinai Syriac 222","Lectionary of Gospels","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1w684g0","Work","","Evangelion","","1267","","1267","","","","","","","","","Kamil","","","210 ff. ; 842.7 g","codex","179 x 140 x 64.0 mm","Paper","","","","","","","","","Dated","","text","Lectionaries|~|Liturgical texts|~|Biblical texts|~|Gospel books","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 222","Sinai. Old Collection","https://www.loc.gov/item/0027938815A-ms/","430","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1w684g0/manifest","delivery 5.2"
"","","St. Catherine's Monastery, Sinai Syriac 224","Euchologia","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1rj636f","Work","","Euchologion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","151 ff. ; 740.8 g","codex","199 x 145 x 62.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 224","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871480","312","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rj636f/manifest","delivery 5.2"
"","","St. Catherine's Monastery, Sinai Syriac 225","Psalms","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1ms5bh5","Work","","Bible. Psalms","","1201/1300","","13th c.","","","","","","","","","Kamil","","","279 ff. ; 1062.7 g","codex","178 x 136 x 95.0 mm","Paper","","","","","","","","","","","text","Biblical texts","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 225","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871481","572","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ms5bh5/manifest","delivery 5.2"
"","","St. Catherine's Monastery, Sinai Syriac 239","Euchologia","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1h14kpd","Work","","Euchologion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","328 ff. ; 1442.7 g","codex","197 x 152 x 105.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 239","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871486","668","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1h14kpd/manifest","delivery 5.2"
"","","St. Catherine's Monastery, Sinai Syriac 241","Psalms","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1c83tzp","Work","","Bible. Psalms","","1365","","1365","","","","","","","","","Kamil","","","236 ff. ; 996.6 g","codex","195 x 155 x 78.0 mm","Paper","","","","","","","","","Dated","","text","Biblical texts","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 241","Sinai. Old Collection","https://www.loc.gov/item/00279388793-ms/","482","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1c83tzp/manifest","delivery 5.2"
