"File Name","Item Sequence","Title","Descriptive title","Thumbnail URL","viewingHint","Parent ARK","Item ARK","Object Type","AltTitle.other","AltTitle.uniform","Place of origin","Date.normalized","Date binding","Date.creation","Scribe","Author","Associated name","Translator","Contents note","Colophon","Incipit","Explicit","References","Provenance","General note","Format.extent","Form","Format.dimensions","Support","Foliation","Page layout","Hand note","Illustrations note","Inscription","Additions","Binding note","Ink color","Features","Condition note","Type.typeOfResource","Type.genre","Language","Text direction","Writing system","Script","Script note","Rights.statementLocal","Rights contact","Name.repository","Shelfmark","Collection (physical)","Other version(s)","image count","IIIF Manifest URL","delivery"
"","","St. Catherine's Monastery, Sinai Arabic 211.","Horologion","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1tq7k7d","Work","","Horologion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","97 ff. ; 779.6 g","codex","216 x 159 x 68 mm","Paper","","","","Decoration on 38r, 65r, 84r","","","","","","","text","Liturgical texts","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 211","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891656","204","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1tq7k7d/manifest","delivery 5.1"
"","","St. Catherine's Monastery, Sinai Arabic 213.","Horologion","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1pz6tj4","Work","","Horologion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","103 ff. ; 445.4 g","codex","190 x 139 x 45 mm","Paper","","","","","","","","","","","text","Liturgical texts","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 213","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891658","218","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1pz6tj4/manifest","delivery 5.1"
"","","St. Catherine's Monastery, Sinai Arabic 218.","Horologion","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1k94s60","Work","","Horologion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","53 ff. ; 558 g","codex","186 x 153 x 48 mm","Paper","","","","","","","","","","","text","Liturgical texts","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 218","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891663","116","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1k94s60/manifest","delivery 5.1"
"","","St. Catherine's Monastery, Sinai Arabic 219.","Horologion","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1fj41h3","Work","","Horologion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","132 ff. ; 584.6 g","codex","183 x 142 x 50 mm","Paper","","","","","","","","","","","text","Liturgical texts","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 219","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891664","274","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1fj41h3/manifest","delivery 5.1"
"","","St. Catherine's Monastery, Sinai Arabic 235.","Prayers and Mimars","","paged","ark:/21198/z1bk2gmg","ark:/21198/z19s38qg","Work","","","","1581","","1581","","","","","","","","","Kamil","","","211 ff. ; 560.4 g","codex","176 x 123 x 63 mm","Paper","","","","","","","","","Dated","","text","Liturgical texts","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 235","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871399","434","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz19s38qg/manifest","delivery 5.1"
"","","St. Catherine's Monastery, Sinai Arabic 241.","Canons and Theotokia","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1612hzm","Work","","","","1201/1300","","13th c.","","","","","","","","","Kamil","","","136 ff. ; 646.2 g","codex","179 x 139 x 55 mm","Paper","","","","","","","","","","","text","Liturgical texts","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 241","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871404","282","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1612hzm/manifest","delivery 5.1"
"","","St. Catherine's Monastery, Sinai Arabic 243.","Troparia and Sticheraria","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1281s79","Work","","Sticherarion|~|Troparion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","229 ff. ; 771.2 g","codex","174 x 137 x 73 mm","Paper","","","","","","","","","","","text","Liturgical texts|~|Hymnals","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 243","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871406","470","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1281s79/manifest","delivery 5.1"
"","","St. Catherine's Monastery, Sinai Arabic 244.","Lectionary (Epistles), Troparia, Canons, Sticheraria, Kathismata, Office of Genuflection and Prayers","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1xh18tw","Work","","Lectionary|~|Sticherarion|~|Troparion|~|Psalter|~|Bible. Psalms","","1288","","1288","","","","","","","","","Kamil","","","344 ff. ; 1239.4 g","codex","200 x 152 x 105 mm","Paper","","","","","","","","","Dated","","text","Liturgical texts|~|Lectionaries|~|Hymnals|~|Biblical texts","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 244","Sinai. Old Collection","https://www.loc.gov/item/00279384593-ms/","699","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1xh18tw/manifest","delivery 5.1"
"","","St. Catherine's Monastery, Sinai Arabic 26.","Psalter and Odes","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1wq1ndt","Work","","Bible. Psalms|~|Bible. Odes|~|Psalter","","1301/1400","","14th c.","","","","","","","","","Kamil","","","132 ff. ; 610.1 g","codex","197 x 154 x 59 mm","Paper","","","","","","","","","","Half-torn folios (ff. 129, 130, 131)","text","Biblical texts|~|Liturgical texts","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 26","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891579","274","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1wq1ndt/manifest","delivery 5.1"
"","","St. Catherine's Monastery, Sinai Arabic 262.","Prayers for the Monks and ill people, Arabic and Syriac","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1sr0j41","Work","","","","1201/1300","","13th c.","","","","","","","","","Kamil","","","207 ff. ; 859.1 g","codex","187 x 144 x 79 mm","Paper","","","","","","","","","","","text","Liturgical texts","ara|~|syc","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 262","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891672","428","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1sr0j41/manifest","delivery 5.1"
"","","St. Catherine's Monastery, Sinai Arabic 266.","Typikon and Lectionary (Gospels and Epistles)","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1p28gvt","Work","","Typikon|~|Lectionary","","1322","","1322","","","","","","","","","Kamil","","","134 ff. ; 759.7 g","codex","205 x 154 x 48 mm","Paper","","","","","","","","","Dated","","text","Liturgical texts|~|Lectionaries|~|Biblical texts|~|Gospel books","ara|~|grc","right-to-left","Arabic","Naskh|~|Greek minuscule","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 266","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871417","278","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1p28gvt/manifest","delivery 5.1"
"","","St. Catherine's Monastery, Sinai Arabic 279.","Commentary on the Song of Songs by St. Gregory of Nyssa","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1j97r4h","Work","","","","1101/1200","","12th c.","","Gregory, of Nyssa, Saint, approximately 335-approximately 394","","","","","","","Kamil","","","112 ff. ; 419.3 g","codex","197 x 149 x 39 mm","Paper","","","","","","","","","","","text","Theological works|~|Commentaries","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 279","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003870998","231","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1j97r4h/manifest","delivery 5.1"
"","","St. Catherine's Monastery, Sinai Arabic 284.","Commentary on the Gospel of St. Matthew by St. John Chrysostom","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1dj70b8","Work","","John Chrysostom, Saint, -407. Homilies on the Gospel of Saint Matthew","","1001/1200","","11th c.","","John Chrysostom, Saint, -407","","","","","","","Kamil","","","281 ff. ; 822.2 g","codex","183 x 150 x 66 mm","Paper","","","","","","","","","","","text","Theological works|~|Commentaries","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 284","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871001","572","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dj70b8/manifest","delivery 5.1"
"","","St. Catherine's Monastery, Sinai Arabic 320.","Life of Barlaam and Josaphat","","paged","ark:/21198/z1bk2gmg","ark:/21198/z18s67k3","Work","","","","1236","","1236","","","","","Includes debate between the Master and the Pupil on the Trinity and the Unity of God","","","","Kamil","","","217 ff. ; 794.6 g","codex","193 x 141 x 68 mm","Paper","","","","","","","","","Dated","","text","Historical works|~|Hagiographies","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 320","Sinai. Old Collection","https://www.loc.gov/item/00279384088-ms/","444","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz18s67k3/manifest","delivery 5.1"
"","","St. Catherine's Monastery, Sinai Arabic 322.","Life of Barlaam and Josaphat","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1515gw4","Work","","","","1402","","1402","","","","","Includes a series of poems in praise of Our Lord and other religious items in different hands","","","","Kamil","","","227 ff. ; 984.4 g","codex","204 x 152 x 70 mm","Paper","","","","","","","","","Dated","","text","Historical works|~|Hagiographies","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 322","Sinai. Old Collection","https://www.loc.gov/item/00279385317-ms/","466","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1515gw4/manifest","delivery 5.1"
"","","St. Catherine's Monastery, Sinai Arabic 323.","Life of Barlaam and Josaphat","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1184r68","Work","","","","1201/1300","","13th c.","","","","","","","","","Kamil","","","314 ff. ; 1166.2 g","codex","188 x 141 x 85 mm","Paper","","","","","","","","","","Some split pages","text","Historical works|~|Hagiographies","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 323","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871419","638","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1184r68/manifest","delivery 5.1"
"","","St. Catherine's Monastery, Sinai Arabic 34.","Psalter","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1rz0wp3","Work","","Bible. Psalms|~|Psalter","","1282","","1282","","Anṭākī, ʻAbd Allāh ibn al-Faḍl, -approximately 1052","","","Psalms translated into Arabic with rubricated commentary by Bishop ‘Abdallah ibn al-Fadl of Antioch","","","","Kamil","","","193 ff. ; 678.7 g","codex","201 x 141 x 52 mm","Paper","","","","","","","","","Dated","","text","Biblical texts|~|Liturgical texts","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 34","Sinai. Old Collection","https://www.loc.gov/item/00279385913-ms/","394","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rz0wp3/manifest","delivery 5.1"
