"File Name","Item Sequence","Title","Descriptive title","Thumbnail URL","Related","viewingHint","Parent ARK","Item ARK","Object Type","AltTitle.other","AltTitle.uniform","Undertext Objects","Overtext Manuscript","Place of origin","Date.normalized","Date.creation","Scribe","Author","Associated Name","Contributors","Contents note","Contents","Colophon","Incipit","Explicit","References","Provenance","General note","Format.extent","Format.weight","Form","Format.dimensions","Folio dimensions","Support","Foliation","Collation","Page layout","Hand note","Illustrations note","Inscription","Additions","Binding note","Binding condition","Ink color","Features","Condition note","Type.typeOfResource","Type.genre","Language","Text direction","Writing system","Script","Script note","Rights.statementLocal","Rights contact","Name.repository","Shelfmark","Collection","Other version(s)","IIIF Manifest URL","delivery","image count","Viscodex"
"","","Sinai, St. Catherine’s Monastery, CPA NF frag 7","","https://sinai-images.library.ucla.edu/iiif/ark:%2F21198%2Fz11v5fkq/1022,0,6132,6132/150,150/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1ht2zc3","Work","John Chrysostom, Homily on the Prodigal Son","John Chrysostom, Saint, -407. Homilies on the Gospel of Saint Matthew","Gospel of Luke (CPA, 6th-7th c. CE), ff. 1–4|~|Martyr Acts (CPA, 6th-7th c. CE), ff. 5bis, 5–6","","","901/1000","10th c.  CE","","John Chrysostom, Saint, -407","","","","","","","","Brock 1995","","","7 ff.","","Folium","195 x 125 mm","195 x 125 mm","Parchment","Not foliated; sequence follows Brock 1995","","","","","","","","","black-brown","Palimpsest|~|Multispectral Imaging","Two bifolios, two loose folios, and one fragment","text","Theological works|~|Commentaries","cpa","right-to-left","Syriac","Christian Palestinian Aramaic","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai CPA NF frag 7","New Finds","","https://sinai-images.library.ucla.edu/iiif/ark:%2F21198%2Fz1ht2zc3/manifest","delivery sppms","",""
"","","Sinai, St. Catherine’s Monastery, Georgian 10","","https://sinai-images.library.ucla.edu/iiif/ark:%2F21198%2Fz1ms45s9/0,1022,6132,6132/150,150/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1pc3j0n","Work","","Apostolos","Hymnary (Iadgari) (Georgian, Nuskhuri, ca. 9th c. CE), ff. 219–220, 224–239, 241–246, 248–261, 263, 265|~|Lectionary, Jerusalem type (Georgian, Asomtavruli, ca. 9th c. CE), ff. 216–218, 221–223, 240, 247|~|Mravaltavi (Georgian, Asomtavruli, 9th-10th c. CE), ff. 262, 266","","","1001/1100","11th c.  CE","","","","","","","f. 256v","","","Gvaramia, et al. 1987","Not produced at Sinai; according to the fragmentary colophon on fol. 256v, the codex was “sent to Mt. Sinai” by a certain David","","266 ff.","","Codex","228 x 166 x 110 mm","226 x 158 mm","Parchment","","Only palimpsest quires are considered: Quire 1 begins f. 216r. Quires 1-5: 5x8 (216-255), Quire 6: 1x6 (261), Quire 7:  1x4+1 (266, f. 264 is a single-folio)","","","","","","Leather on wood, Greek binding, remains of metal clasps on front cover, remains of leather straps on back cover","Spine partially exposed ","black","Palimpsest|~|Colophon|~|Multispectral Imaging","All folios darkened by use on outer upper and lower margins | Palimpsest in margins often appears with raised surface structure","text","Liturgical texts|~|Biblical texts","geo","","Georgian","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Georgian 10","Old Collection","","https://sinai-images.library.ucla.edu/iiif/ark:%2F21198%2Fz1pc3j0n/manifest","delivery sppms","",""
"","","Sinai, St. Catherine’s Monastery, Georgian 34","Liturgical collection","https://sinai-images.library.ucla.edu/iiif/ark:%2F21198%2Fz17m10fg/0,1022,6132,6132/150,150/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1h13zxq","Work","","","Hymnary (Georgian, Nuskhuri, ca. 9th-mid 10th c. CE), ff. 130–131, 143, 146|~|Hymnary (Heirmologion with Theotokia) (Georgian, Nuskhuri, ca. 9th-10th c. CE), ff. 123v, 138r|~|Hymnary (Iadgari, Assumption) (Georgian, Nuskhuri, ca. 9th-10th c. CE), ff. 144–145, 204–205, 208–209, rear pastedown, 140–141|~|Unidentified (Georgian, Asomtavruli, ca. 6th- mid 10th c. CE), rear pastedown|~|Unidentified (Greek), ff, 206–207","","","932","932  CE","","","","","","","","","","Metreveli|~|Kamil|~|Froyshov","","","210 ff.","","Codex","190 x 155 x 112 mm","180 x 142 mm","Parchment|~|Paper","","Pastedown, Quire 1: 1x8 (8), Quire 2: 1x6+1+1 (16), Quire 3: 1x8 (24), Quire 4: 1x8 (32), Quire 5: 1+1x4+1 (38), Quire 6: 1x2+1x6+1+1x4+1 (46), Quire 7, 1x10 (62), Quire 8: undetermined (80), Quire 9: 1x14 (96), Quire 10: 1x14 (110), Quire 11: 1x12 (122), Quire 12: 1x14+1+1 (138), Quire 13: 8x1 (146), Quire 14: undetermined (169), Quire 15: undetermined (185), Quire 16: undetermined (195), Quire 17: 1x8 (203), Quire 18: 1x6+1 (210), pastedown|~|Quire structure difficult to establish, due to missing folios, frequency of single-folios, and tight binding | Quire signatures (with gaps) in Georgian, beginning with 3 (fol. 1), ending with 27 (fol. 204); these signatures differ from quire structure given above | Ff. 124-129, 132-137, 147-195 are paper, the rest are parchment","","","","","","Leather on wood, decorated with tooling; holes on covers and along edges (for metal reinforcements); leather fastening strap on top cover","Front cover only attached at top, spine broken, outer edge of back cover missing","black; titles in red","Palimpsest|~|Rubrication|~|Dated|~|Multispectral Imaging","","text","Liturgical texts","geo","","Georgian","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Georgian 34","Old Collection","","https://sinai-images.library.ucla.edu/iiif/ark:%2F21198%2Fz1h13zxq/manifest","delivery sppms","",""
"","","Sinai, St. Catherine’s Monastery, Georgian 49","","https://sinai-images.library.ucla.edu/iiif/ark:%2F21198%2Fz12j7c24/0,1022,6132,6132/150,150/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z12v3d24","Work","","Menaia","Months of the Zodiac (Arabic, 10th c. CE), f. 119|~|Unidentified Christian Arabic Text(s) (Arabic), ff. 57–62, 64–65, 67–73, 78–95, 112–119r|~|Unidentified (Coptic),|~|Unidentified Hymnographic Text (Georgian, Nuskhuri, ca. 10th c. CE), ff. 1v, 2r, 3v, 4r, 5v, 6r, 7v, 8r|~|Divine Liturgy of Saint James (Greek, Minuscule, 9th c. CE), ff. 50–52, 56, 63, 74–77, 96–106, 109–110|~|Gospel of John (Greek, Biblical majuscule, 6th c. CE), f. 42|~|Gospel of Mark (Greek, Biblical majuscule, 6th c. CE), ff. 25–26, 28–30|~|Menaion (Greek, 9th c. CE), f. 42|~|Unidentified Christian poem (Greek, Majuscule, mid 6th - mid 7th c. CE), ff. 57–62, 64–73, 78–95, 112–119|~|Unidentified liturgical text I (Greek, Minuscule, 9th c. CE), ff. 49–50, 53–55, 104, 107–108, 111|~|Unidentified liturgical text II (Greek, Sloping pointed majuscule, 9th c. CE), f. 63|~|Amos (Syriac, Estrangela, 6th c. CE), f. 36|~|Exodus (Syriac, Estrangela, 7th c. CE), ff. 40, 47|~|Gospel of Luke (Syriac, Estrangela, 9th c. CE), f. 34|~|Gospel of Mark (Syriac, Estrangela, 6th c. CE), ff. 21, 23, 33|~|Gospel of Matthew (Syriac, Serto, 9th c. CE), f. 47|~|Gospel of Matthew (Syriac, Estrangela, 6th c. CE), ff. 41, 45|~|Gospel of Matthew (Syriac, Estrangela, 6th c. CE), ff. 43, 48|~|Hymns and Homilies (Syriac, Estrangela, 11th c. CE), ff. 17, 19, 22, 31–32, 38|~|Life of Saint Pelagia (Syriac, Estrangela, 6th-7th c. CE), ff. 43–44, 48|~|Unidentified Liturgical or Theological Text(s) (Syriac, Serto, 9th c. CE), ff. 18, 20, 27|~|Unidentified Liturgical Text, Prayers, and Hymns (Syriac, Serto, 9th c. CE), ff. 9, 11, 13–15|~|Unidentified (Syriac, Estrangela, 6th-7th c. CE), f. 16|~|Unidentified (Syriac, Estrangela, 5th-6th c. CE), ff. 17, 19, 22, 31–32, 38|~|Unidentified (Syriac, Estrangela, 11th C. CE), f. 10|~|Unidentified (Syriac, Estrangela, 6th c. CE), f. 24|~|Unidentified (Syriac, Serto, 10th c. CE), ff. 25–26, 28–30|~|Unidentified (Syriac, Estrangela, 6th c. CE), f. 20v|~|Unidentified (Syriac, Estrangela, 6th c. CE), f. 34v, 47r|~|Unidentified (Syriac, Estrangela, 6th c. CE), f. 37|~|Unidentified (Syriac, Serto, 9th-10th c. CE), ff. 04, 47|~|Unidentified (Syriac, Serto, 10th c. CE), f. 37|~|Unidentified Liturgical Text, Hymns, and Prayers (Syriac, Serto, late 8th-9th c. CE), ff. 37, 39|~|Unidentified Theological or Liturgical Text (Syriac, Estrangela, 6th-7th c. CE), ff. 25r, 26v|~|Unidentified Theological Text (Syriac, Estrangela, 8th c. CE), f. 35|~|Unidentified Theological Text (Syriac, Estrangela, 5th-6th c. CE), ff. 12r, 16r|~|Unidentified Theological Text, and Homily (Syriac, Estrangela, late 8th-9th c. CE), f. 16","","","1201/1300","13th c.  CE","","","","","","","","","","Kamil","","","119 ff.","","Codex","157 x 135 x 37 mm","157 x 135 mm","Parchment","Pencil foliation in upper margin","Quire 1: 1x8 (8); Quires 2-6: 8x1 (48); Quire 7: 1x6+1 (55); Quires 8-14: 7x8 (119)|~|Quire signatures by original hand","","","","","","","Covers missing; uncovered spine","black; titles in red","Palimpsest|~|Rubrication|~|Multispectral Imaging","","text","Liturgical texts|~|Hymnals","geo","","Georgian","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Georgian 49","Old Collection","","https://sinai-images.library.ucla.edu/iiif/ark:%2F21198%2Fz12v3d24/manifest","delivery sppms","",""
"","","Sinai, St. Catherine’s Monastery, Georgian NF M 13","Ascetica and Hagiographica","https://sinai-images.library.ucla.edu/iiif/ark:%2F21198%2Fz1fb5jpv/0,1022,6132,6132/150,150/0/default.jpg","Georgian NF M 13 originally formed one unit with Georgian NF M 55 (https://sinaimanuscripts.library.ucla.edu/catalog/ark%3A%2F21198%2Fz1d50wzn)","paged","ark:/21198/z1bk2gmg","ark:/21198/z1ww8090","Work","","","Pauline Epistles with Euthalian apparatus (Armenian, Erkatagir, 8th-9th c. CE), ff. 52–53, 62–63, 71–72|~|Works of Solomon (Armenian, Erkatagir, 8th-9th c. CE), ff. 79–81, frag81, 82–86, frag86, 87–95|~|Gospel of John (Caucasian Albanian, 7th-8th c. CE), ff. 1, 6–7, 16–25, 30–31, 40–41, 46–47, 50–51, 54–55, 59–61, 64–66, 74, 96–102, 107|~|Lectionary (Caucasian Albanian, 7th-8th c. CE), ff. 2–5, 8–15, 26–29, 32– 39, 42–45, 48–49, 56–57, 67–70, 73, 75–78, 103–106|~|Unidentified Hagiography (Georgian, Asomtavruli, 7th c. CE), f. 58","","","901/1100","10th-11th c.  CE","","","","","","","","","","Aleksidze, et al.|~|SIBE","","","107 ff.","","Codex","","225 x 154 mm","Parchment","Foliation in pencil center of lower margin (followed); occasional alternative foliation in pencil in inner upper margin (not followed); rare third foliation in outer upper margin (not followed)","Quire 1: 1x6+1 (7); Quire 2: 1x8 (15); Quire 3-6: 4x8 (47);  Quire 7: 1x8 (56); Quire 7: 1x10+1 (58); Quire 8: 1x8+2 (68); Quire 9: 1+1x4+1 (74); Quire 10: 1x4 (78); Quire 11: 1+1x8 (87); Quire 12: 1x8 (95); Quire 13: 1x6 (101); Quire 14: 6x1 (107)","","Manuscript copied by a certain Mikael (ff. 7v, 16r)","","","","","","black; some titles in red","Palimpsest|~|Rubrication|~|Multispectral Imaging","Unbound quires stitched together (Quires 2-5, 6-7); some single folios | Folios darkened by use in outer lower corners","text","Hagiographies","geo","","Georgian","Nuskhuri","Inelegant irregular script","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Georgian NF M 13","New Finds","","https://sinai-images.library.ucla.edu/iiif/ark:%2F21198%2Fz1ww8090/manifest","delivery sppms","",""
"","","Sinai, St. Catherine’s Monastery, Georgian NF M 19","","https://sinai-images.library.ucla.edu/iiif/ark:%2F21198%2Fz1hh6xc3/0,902,5412,5412/150,150/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z16d68k3","Work","Iadgari","Octoechos","Cyril of Jerusalem. Catecheses (CPA, 6th-7th c. CE), ff. 2–3, 6–7, 55, 60|~|Dormition of the Virgin Mary A (CPA, 7th-8th c. CE), ff. 8–9|~|Dormition of the Virgin Mary B (CPA, 6th-7th c. CE), ff. 4–5|~|Gospel of Matthew (CPA, 6th-7th c. CE), f. 1|~|Jeremiah (CPA, 6th-7th c. CE), ff. 10–11|~|New Testament Lectionary (CPA, 6th–7th c. CE), f. 58|~|Unidentified (CPA, 8th c. CE), f. 62|~|Unidentified Homily A (CPA, 6th-7th c. CE), f. 59|~|Unidentified Homily B (CPA, 6th-7th c. CE), f. 61|~|2 Kings (Greek, Coptic majuscule, early 8th c. CE), f. 53|~|Gospel of John (Greek, Biblical majuscule, 6th c. CE), f. 54|~|Gospel of Luke (Greek, Biblical majuscule, 6th c. CE), f. 57|~|Gospel of Matthew (Greek, Biblical majuscule, 6th c. CE), f. 56|~|Hymns (Greek, Sloping majuscule, mid-1th c. CE), ff. 10–11|~|Liturgy with New Testament readings (Greek, Minuscule, 9th-10th c. CE), ff. 4–5, 8–9","","Saint Catherine's Monastery","980","980  CE","","","","","","","","","","Aleksidze, et al.","","","61 ff.","","Codex","200 x 165 x 38 mm","197 x 143 mm","Parchment","Foliation in pencil at the center or top of outer margin","Quire 1 (12), Quire 2 (20), Quire 3 (28), Quire 4 (36), Quire 5 (44), Quire 6 (52), Quire 7 (60), Quire 8 (61)|~|All quires are quaternions, except quires 1 and 8; quire 8 consists only of f. 61 | Quire signatures at the beginning of most quires | Quires are tightly stitched | Relations within the quires are difficult to establish","","Written, and dated, by a scribe named Iovane","","","","","Warped back, with parchment reinforcements (with writing in CPA)","black","Palimpsest|~|Dated|~|Multispectral Imaging","Unbound codex, incomplete at beginning and end | Tightly stitched quires | Most folios are stitched together from several pieces","text","Liturgical texts","geo","","Georgian","Nuskhuri","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Georgian NF M 19","New Finds","","https://sinai-images.library.ucla.edu/iiif/ark:%2F21198%2Fz16d68k3/manifest","delivery sppms","",""
"","","Sinai, St. Catherine’s Monastery, Georgian NF M 55","","https://sinai-images.library.ucla.edu/iiif/ark:%2F21198%2Fz11c2033/0,1022,6132,6132/150,150/0/default.jpg","Georgian NF M 55 originally formed one unit with Georgian NF M 13 (https://sinaimanuscripts.library.ucla.edu/catalog/ark%3A%2F21198%2Fz1ww8090)","paged","ark:/21198/z1bk2gmg","ark:/21198/z1d50wzn","Work","","Sayings of the Desert Fathers","Hebrews (Armenian, Erkatagir, ca. 9th-10th c. CE), f. 64|~|Pauline Epistles with Euthalian apparatus (Armenian, Erkatagir, 8th-9th c. CE), ff. 28–29, 37–38|~|Works of Solomon (Armenian, Erkatagir, 8th-9th c. CE), ff. 43–53, 56–59, 61|~|Gospel of John (Caucasian Albanian, 7th-8th c. CE), ff. 1, 5, 7–14, 17–18, 21–22, 35–36, 39–40, 54–55, 60, 62v, 63, 66, 68–75, 77–78|~|Lectionary (Caucasian Albanian, 7th-8th c. CE), ff. 2–4, 6r, 15–16, 23–27, 30–34, 41r, 41v, 42r, 4, 62r, 65r, 65v, 67r, 67v|~|Gospel of Mark (CPA, 7th-8th c. CE), ff. 19–20|~|Unidentified (CPA, 9th c. CE),","","","901/1000","10th c.  CE","","","","","","","","","","Aleksidze, et al.|~|SIBE","","","78 ff.","","Codex","","150 x 140 mm","Parchment","Occasional alternate foliation in pencil","2x1 (2); 2x1 inside 1x2 (6); 1x1 (7); Quire 1: 1x6 (13); 2x1 (15); Quire 2: 1x8 (23); 2x1 (25); Quire 3: 1x6 (31); 3x1 (34); Quire 4: 1x6 (40); 13x1 (53); 1x2 (55); 17x1 (72); 6x1 (78)","","Manuscript copied by scribe Mikael","","","","","","brown","Palimpsest|~|Multispectral Imaging","Unbound quires, single folios, and fragments | Several folios have transfer of ink from facing page that may appear as double palimpsest","text","Apophthegmata","geo","","Georgian","Nuskhuri","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Georgian NF M 55","New Finds","","https://sinai-images.library.ucla.edu/iiif/ark:%2F21198%2Fz1d50wzn/manifest","delivery sppms","",""
"","","Sinai, St. Catherine’s Monastery, Georgian NF M 59","Liturgical collection","https://sinai-images.library.ucla.edu/iiif/ark:%2F21198%2Fz1p84d1s/1022,0,6132,6132/150,150/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z18d059m","Work","","","Hymnary (Iadgari, Easter cycle) (Georgian, Nuskhuri, ca. 10th c. CE), ff. 1–12","","","1001/1200","11th-12th c.  CE","","","","","","","","","","Aleksidze, et al.","","","12 ff.","","Folium","105 x 92 x 17 mm","105 x 92 mm","Parchment","Some folios carry alternate foliation in pencil; consecutive foliation in lower right corner is followed here","Quire 1: 1x6 (6), 3x2 (12)","","","","","","","Binding absent","black-brown; some initials in red","Palimpsest|~|Rubrication|~|Initial(s), Decorated|~|Multispectral Imaging","One quire and three bifolios, unbound | All folios are incomplete at lower margin and severely cockled","text","Liturgical texts","geo","","Georgian","Nuskhuri","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Georgian NF M 59","New Finds","","https://sinai-images.library.ucla.edu/iiif/ark:%2F21198%2Fz18d059m/manifest","delivery sppms","",""
"","","Sinai, St. Catherine’s Monastery, Georgian NF M 61","","https://sinai-images.library.ucla.edu/iiif/ark:%2F21198%2Fz16x02s6/0,902,5412,5412/150,150/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1c83777","Work","","Horologion","Horologion (Georgian, Nuskhuri, 13th c. CE), ff. 1–22, 26–29|~|Hymnary (Heirmologion with Theotokia) (Georgian, Nuskhuri, 11th c. CE), ff. 35–36|~|Psalter (Georgian, Asomtavruli, ca. 9th-10th c. CE), ff. 35–36|~|Psalter (version by George the Athonite) (Georgian, Nuskhuri, 12th-13th c. CE), ff. 23– 25, 30–32|~|Unidentified (Georgian, Nuskhuri), ff. 33–34, 37–38","","","1101/1200","12th c.  CE","","","","","","","","","","Aleksidze, et al.","","","38 ff.","","Codex","117 x 100 x 13 mm","112 x 87 mm","Parchment","Pencil foliation beginning with 1 at top center; irregular alternative foliation in outer margin, not followed here; foliation in pencil, bottom","Quire 1: 5x1+1x2 (7), Quire 2: 1x8 (15), Quire 3: 1x2+5x1 (22), Quire 4: 1x10 (32), Quire 5: 1x6 (38)","","","","","","","Covers missing","black","Palimpsest|~|Multispectral Imaging","Codex incomplete at beginning and end | Unbound quires, stitching largely intact | All folios very dark and stiff, fragmentary folios at front and back","text","Liturgical texts","geo","","Georgian","Nuskhuri","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Georgian NF M 61","New Finds","","https://sinai-images.library.ucla.edu/iiif/ark:%2F21198%2Fz1c83777/manifest","delivery sppms","",""
"","","Sinai, St. Catherine’s Monastery, Georgian NF M 7","Collection of Chants","https://sinai-images.library.ucla.edu/iiif/ark:%2F21198%2Fz1f48cpv/0,1022,6132,6132/150,150/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1ms4qq1","Work","","","Hymns (Georgian, Nuskhuri, Mtavruli, late 10th c. CE), ff. 13–45|~|Psalter A (Georgian, Nuskhuri, Mtavruli, late 10th c. CE), ff. 2–12, 16r, 46–56, 58–69, 71–86, 88–92, 96–102, 104–105, 108–116, 118–138, 140–154|~|Psalter B (Georgian, Nuskhuri, Mtavruli, late 10th c. CE), ff. 1, 5r, 87r, 87v, 93–94, 103, 106r, 106–107, 117, 139|~|Psalter C (Georgian, Nuskhuri, Mtavruli, late 10th c. CE), ff. 57, 70, 95","","","1201/1300","13th c.  CE","","","","","","","","","","Aleksidze, et al.","","","154 ff.","","Codex","245 x 228 x 56 mm","239 x 180 mm","Parchment","Pencil foliation throughout","2+1 (3), 1x1 (4), Quire 1: 1x8 (12), Quire 2: 1x8 (20), Quire 3: 1x6 (26), Quire 4: 1x6 (32), Quire 5: 1x6 (38), Quire 6: 1x6+1 (45), Quire 7: 1x8 (53), Quire 8: 1x6+1 (60), Quire 9: 1x6+1+1 (68), Quire 10: 1x6+1+1 (76), Quire 11: 1x8 (84), Quire 12: 1x6+1+1 (92), Quire 13 : 1x8 (100), Quire 14 : 1x8 (108), Quire 15: 1x8 (116), Quire 16: 1x6 (122), Quire 17: 1x8 (130), Quire 18: 1x8 (138), Quire 19: 1x8 (146), Quire 20: 1x8 (154)","","","","","","","Front and back covers missing","black-brown","Palimpsest|~|Multispectral Imaging","Unbound quires | Ff. 1-4 fragmentary, ff. 5-14 damaged at upper and lower corners, ff. 141-154 fragmentary","text","Liturgical texts|~|Hymnals","geo","","Georgian","Nuskhuri|~|Asomtavruli","Initials in asomtavruli","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Georgian NF M 7","New Finds","","https://sinai-images.library.ucla.edu/iiif/ark:%2F21198%2Fz1ms4qq1/manifest","delivery sppms","",""
"","","Sinai, St. Catherine’s Monastery, Georgian NF M 71","","https://sinai-images.library.ucla.edu/iiif/ark:%2F21198%2Fz11c2xzg/0,902,5412,5412/150,150/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1z32wm6","Work","Gospel lectionary","Lectionary","Cyril of Jerusalem. Catecheses (CPA, 6th-7th c. CE), ff. 2–3, 6–7|~|Exodus (CPA, 6th-7th c. CE), ff. 1, 8|~|Gospel of Matthew (CPA, 6th-7th c. CE), ff. 4–5","","","901/1000","10th c.  CE","","","","","Contains index","","","","","Aleksidze, et al.","","","8 ff.","","Quire(s)","136 x 97 mm","136 x 97 mm","Parchment","","Sewn quire (quaternion); this was quire 2 of the original manuscript as indicated by quire signature","","","","","","","","light-brown","Palimpsest|~|Multispectral Imaging","","text","Liturgical texts|~|Lectionaries|~|Biblical texts|~|Gospel books","geo","","Georgian","Nuskhuri","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Georgian NF M 71","New Finds","","https://sinai-images.library.ucla.edu/iiif/ark:%2F21198%2Fz1z32wm6/manifest","delivery sppms","",""
"","","Sinai, St. Catherine’s Monastery, Georgian NF M 84","","https://sinai-images.library.ucla.edu/iiif/ark:%2F21198%2Fz1qz2cw1/0,1022,6132,6132/150,150/0/default.jpg","Georgian NF M 84 originally formed one unit with Georgian NF M 90 (https://sinaimanuscripts.library.ucla.edu/catalog/ark%3A%2F21198%2Fz1tb24tz)","paged","ark:/21198/z1bk2gmg","ark:/21198/z14m9dms","Work","","Sayings of the Desert Fathers","David. Haemeti Psalter (Georgian, Asomtavruli, ca. 8th c.CE), ff. 6–7|~|Khanmeti Mravaltavi (Georgian, Asomtavruli, ca. 7th c. CE), ff. 1–5|~|Life of St. Febronia (Georgian, Asomtavruli, ca. 9th-10th c. CE), ff. 6–7","","","901/1100","10th-11th c.  CE","","","","","","","","","","Aleksidze, et al.","","","7 ff.","","Bifolium","","155 x 120 mm","Parchment","","1+2+2+2 (7)","","","Decorative bars in red and black","","","","","black-brown; initials and titles in red","Palimpsest|~|Rubrication|~|Decoration, Geometric|~|Initial(s), Decorated|~|Multispectral Imaging","Loose bifolios and one singleton folio, all fragmented","text","Apophthegmata","geo","","Georgian","Nuskhuri","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Georgian NF M 84","New Finds","","https://sinai-images.library.ucla.edu/iiif/ark:%2F21198%2Fz14m9dms/manifest","delivery sppms","",""
