File Name,Item Sequence,Title,Descriptive title,Thumbnail URL,viewingHint,Parent ARK,Item ARK,Object Type,AltTitle.other,AltTitle.uniform,Place of origin,Date.normalized,Date.creation,Scribe,Author,Associated name,Contributors,Contents note,Colophon,Incipit,Explicit,References,Provenance,General note,Format.extent,Format.weight,Form,Format.dimensions,Support,Foliation,Page layout,Hand note,Illustrations note,Inscription,Additions,Binding note,Ink color,Features,Condition note,Type.typeOfResource,Type.genre,Language,Text direction,Writing system,Script,Script note,Rights.statementLocal,Rights contact,Name.repository,Shelfmark,AltIdentifier.local,Collection,Other version(s),IIIF Manifest URL,delivery,image count,Viscodex
,,"Sinai, St. Catherine’s Monastery, Arabic 84",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1b29tv7,Work,Four Gospels,Bible. Gospels,,1262,1262 CE,,,,,"Each Gospel followed by its index, divided according to Greek Calendar",,,,Kamil,,,242 ff.,1305.5 g,codex,223 x 149 x 78.0 mm,Paper,,,,,,,,,,,text,Biblical texts|~|Gospel books,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 84,Sinai Arabic 84,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1b29tv7/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Arabic 86",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z169932d,Work,Four Gospels,Bible. Gospels,,1301/1400,14th c. CE,,,,,,,,,Kamil,,,193 ff.,1392.5 g,codex,228 x 162 x 82.0 mm,Paper,,,,,,,,,,,text,Biblical texts|~|Gospel books,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 86,Sinai Arabic 86,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz169932d/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Arabic NF M 10",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z12j8bbp,Work,,Horologion,,,n.d.,,,,,,,,,,,,49 ff.,168.8 g,codex,183 x 145 x 30.0 mm,Parchment,,,,,,,,,,,text,,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic NF M 10,Sinai Arabic NF M 10,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12j8bbp/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Arabic NF M 6",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1xs7txw,Work,"Gospels of Matthew, Mark, Luke, and John",Evangelion,,,n.d.,,,,,,,,,,,,109 ff.,372.6 g,codex,207 x 150 x 38.0 mm,Parchment,,,,,,,,,,,text,,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic NF M 6,Sinai Arabic NF M 6,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1xs7txw/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Arabic NF X 12",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1t17368,Work,,,,,n.d.,,,,,,,,,,,,24 ff.,46.2 g,codex,163 x 121 x 10.0 mm,Paper,,,,,,,,,,,text,,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic NF X 12,Sinai Arabic NF X 12,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1t17368/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Arabic NF X 15",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1p86bf3,Work,,,,,n.d.,,,,,,,,,,,,43 ff.,75.7 g,codex,170 x 129 x 11.0 mm,Paper,,,,,,,,,,,text,,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic NF X 15,Sinai Arabic NF X 15,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1p86bf3/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Arabic NF X 19",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1jm4960,Work,,,,,n.d.,,,,,,,,,,,z_999 found at 37r,57 ff.,146.4 g,codex,226 x 137 x 17.0 mm,Paper,,,,,,,,,,,text,,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic NF X 19,Sinai Arabic NF X 19,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1jm4960/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Arabic NF X 2",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1dv3jdc,Work,,,,,n.d.,,,,,,,,,,,,85 ff.,201.5 g,codex,172 x 130 x 27.0 mm,Paper,,,,,,,,,,,text,,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic NF X 2,Sinai Arabic NF X 2,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dv3jdc/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Arabic NF X 20",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1932snh,Work,,,,,n.d.,,,,,,,,,,,,21 ff.,107.3 g,codex,215 x 155 x 20.0 mm,Paper,,,,,,,,,,,text,,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic NF X 20,Sinai Arabic NF X 20,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1932snh/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Arabic NF X 23",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z15b21zm,Work,,,,,n.d.,,,,,,,,,,,"decorative elements: 22v, 23r",64 ff.,209.8 g,codex,152 x 124 x 35.0 mm,Paper,,,,,,,,,,,text,,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic NF X 23,Sinai Arabic NF X 23,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz15b21zm/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Arabic NF X 25",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z11k1996,Work,,,,,n.d.,,,,,,,,,,,,128 ff.,259.4 g,codex,142 x 121 x 43.0 mm,Paper,,,,,,,,,,,text,,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic NF X 25,Sinai Arabic NF X 25,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11k1996/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Arabic NF X 28",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1wt0ss2,Work,,Horologion,,,n.d.,,,,,,,,,,,,39 ff.,72.0 g,codex,168 x 127 x 12.0 mm,Paper,,,,,,,,,,,text,,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic NF X 28,Sinai Arabic NF X 28,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1wt0ss2/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Arabic NF X 29",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1s2022f,Work,,,,,n.d.,,,,,,,,,,,z999 found at 5r / z998 found at 15r / decorative elements: 22r,37 ff.,100.3 g,codex,184 x 136 x 15.0 mm,Paper,,,,,,,,,,,text,,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic NF X 29,Sinai Arabic NF X 29,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1s2022f/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Arabic NF X 30",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1nc80rg,Work,,,,1247,1247 CE,,,,,,,,,,,,91 ff.,188.3 g,codex,148 x 114 x 35.0 mm,Paper,,,,,,,,,,,text,,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic NF X 30,Sinai Arabic NF X 30,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1nc80rg/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Arabic NF X 31",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1hm77zv,Work,,,,,n.d.,,,,,,,,,,,,30 ff.,89.5 g,codex,193 x 145 x 20.0 mm,Paper,,,,,,,,,,,text,,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic NF X 31,Sinai Arabic NF X 31,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1hm77zv/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Arabic NF X 32",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1cv6h63,Work,,,,1352,1352 CE,,,,,,,,,,,z999 found at 54r / z998 found inside extra envelope,78 ff.,198.6 g,codex,200 x 154 x 29.0 mm,Paper,,,,,,,,,,,text,,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic NF X 32,Sinai Arabic NF X 32,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1cv6h63/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Arabic NF X 33",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1835rh4,Work,,Horologion,,,n.d.,,,,,,,,,,,z999 found inside extra envelope,24 ff.,75.3 g,codex,185 x 139 x 12.0 mm,Paper,,,,,,,,,,,text,,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic NF X 33,Sinai Arabic NF X 33,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1835rh4/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Arabic NF X 34",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z14b50t7,Work,,,,1001,1001 CE,,,,,,,,,,,,31 ff.,130.1 g,codex,183 x 154 x 22.0 mm,Paper,,,,,,,,,,,text,,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic NF X 34,Sinai Arabic NF X 34,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz14b50t7/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Arabic NF X 37",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z10k484c,Work,,,,,n.d.,,,,,,,,,,,,88 ff.,126.6 g,codex,163 x 137 x 19.0 mm,Paper,,,,,,,,,,,text,,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic NF X 37,Sinai Arabic NF X 37,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10k484c/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Arabic NF X 38",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1vt3rm7,Work,,Horologion,,,n.d.,,,,,,,,,,,,19 ff.,47.4 g,codex,182 x 149 x 9.0 mm,Paper,,,,,,,,,,,text,,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic NF X 38,Sinai Arabic NF X 38,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vt3rm7/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Arabic NF X 39",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1r51q9j,Work,,,,,n.d.,,,,,,,,,,,,14 ff.,36.3 g,codex,174 x 132 x 5.0 mm,Paper,,,,,,,,,,,text,,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic NF X 39,Sinai Arabic NF X 39,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1r51q9j/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Arabic NF X 40",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1md0zjc,Work,,,,,n.d.,,,,,,,,,,,,10 ff.,29.3 g,codex,165 x 129 x 5.0 mm,Paper,,,,,,,,,,,text,,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic NF X 40,Sinai Arabic NF X 40,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1md0zjc/manifest,delivery 8.1,,
