File Name,Item Sequence,Visibility,Title,Thumbnail URL,viewingHint,Parent ARK,Item ARK,Object Type,AltTitle.other,AltTitle.uniform,Place of origin,Date.normalized,Date binding,Date.creation,Scribe,Author,Translator,Contents note,Colophon,Incipit,Explicit,References,Provenance,General note,Format.extent,Form,Format.dimensions,Support,Foliation,Page layout,Writing and hands,Illustrations note,Inscription,Additions,Binding note,Ink color,Features,Condition note,Type.typeOfResource,Type.genre,Language,Text direction,Writing system,Script,Script note,Rights.statementLocal,Rights contact,Name.repository,AltIdentifier.local,Collection (physical),Other version,IIIF Manifest URL,delivery
,,sinai,"Sinai Syriac 187. Parakletiki : manuscript, 1160. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1dv33hb,Work,,,,1160,,1160,,,,,,,,Kamil,,,202 ff. ; 1418.3 g,codex,255 x 180 x 91 mm,Paper,,,,,,,,,,,text,Liturgical texts,syc,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac 187,Sinai. Old Collection,,,4.4
,,sinai,"Sinai Syriac 19. Sermons on Song of Songs : manuscript, [11th c.]. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z13j4xkn,Work,,,,1001/1100,,11th c.,,,,,,,,Kamil,,,65 ff. ; 613.8 g,codex,257 x 180 x 51 mm,Parchment,,,,,,,,,,,text,Theological works,syc,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac 19,Sinai. Old Collection,,,4.4
,,sinai,"Sinai Syriac 192. Typikon : manuscript, 1243. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1932bsx,Work,,Typikon,,1243,,1243,,,,,,,,Kamil,,,207 ff. ; 1762.5 g,codex,272 x 196 x 76 mm,Paper,,,,,,,,,,,text,Liturgical texts,syc,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac 192,Sinai. Old Collection,,,4.4
,,sinai,"Sinai Syriac 193. Services : manuscript, [13th c.]. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z15b1m32,Work,,,,1201/1300,,13th c.,,,,,,,,Kamil,,,148 ff. ; 985.8 g,codex,231 x 155 x 55 mm,Paper,,,,,,,,,,,text,Liturgical texts,syc,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac 193,Sinai. Old Collection,,,4.4
,,sinai,"Sinai Syriac 194. Lectionary of Old Testament : manuscript, [13th c.]. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z11k0vf7,Work,,Lectionary,,1201/1300,,13th c.,,,,,,,,Kamil,,,161 ff. ; 727.9 g,codex,234 x 168 x 50 mm,Paper,,,,,,,,,,,text,Lectionaries|~|Liturgical texts|~|Biblical texts,syc,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac 194,Sinai. Old Collection,,,4.4
,,sinai,"Sinai Syriac 196. Services : manuscript, 1292. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1wt0bw1,Work,,,,1292,,1292,,,,,,,,Kamil,,,254 ff. ; 1386.9 g,codex,230 x 150 x 80 mm,Paper,,,,,,,,,,,text,Liturgical texts,syc,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac 196,Sinai. Old Collection,,,4.4
,,sinai,"Sinai Syriac 197. Oktoichos : manuscript, 1252. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1s19m41,Work,,Oktoechos,,1252,,1252,,,,,,,,Kamil,,,283 ff. ; 1547 g,codex,273 x 193 x 69 mm,Paper,,,,,,,,,,,text,Liturgical texts|~|Hymnals,syc,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac 197,Sinai. Old Collection,,,4.4
,,sinai,"Sinai Syriac 1a. Synaxarium for whole year : manuscript, 1227. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1r79zws,Work,"Sunaksarin, teksa d yawnaye (Brock)",Synaxarion,,1227,,1227,"Kara, Joseph, approximately 1065-",,,,,,,Kamil,,,237 ff. ; 1782.7 g,codex,228 x 174 x 99 mm,Parchment,,,,,,,,,,,text,Liturgical texts|~|Hagiographies,syc,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac 1a,Sinai. Old Collection,,,4.4
,,sinai,"Sinai Syriac 20. Lectionary for the whole year : manuscript, 1015. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1zs4f46,Work,,Lectionary,,1015,,1015,,,,,,,,Kamil,,,180 ff. ; 1916.7 g,codex,271 x 211 x 82 mm,Parchment,,,,,,,,,,,text,Lectionaries|~|Liturgical texts|~|Biblical texts,syc,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac 20,Sinai. Old Collection,,,4.4
,,sinai,"Sinai Syriac 203. Services : manuscript, 1290. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1nc7jv2,Work,,,,1290,,1290,,,,,,,,Kamil,,,222 ff. ; 2102.1 g,codex,274 x 210 x 85 mm,Paper,,,,,,,,,,,text,Liturgical texts,syc,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac 203,Sinai. Old Collection,,,4.4
,,sinai,"Sinai Syriac 212. Menologion (month of Tamūz) : manuscript, 1255. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1hm6t2v,Work,,Menologion,,1255,,1255,,,,,,,,Kamil,,,213 ff. ; 1619.6 g,codex,257 x 190 x 73 mm,Paper,,,,,,,,,,,text,Liturgical texts|~|Hagiographies,syc,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac 212,Sinai. Old Collection,,,4.4
,,sinai,"Sinai Syriac 213. Lectionary of Old Testament : manuscript, [13th c.]. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1cv62bh,Work,,Lectionary,,1201/1300,,13th c.,,,,,,,,Kamil,,,165 ff. ; 1432.4 g,codex,268 x 188 x 58 mm,Paper,,,,,,,,,,,text,Lectionaries|~|Liturgical texts|~|Biblical texts,syc,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac 213,Sinai. Old Collection,,,4.4
,,sinai,"Sinai Syriac 218. Lectionary of Acts and Epistles : manuscript, [13th c.]. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z18359nj,Work,,Lectionary,,1201/1300,,13th c.,,,,,,,,Kamil,,,151 ff. ; 746.8 g,codex,232 x 166 x 44 mm,Paper,,,,,,,,,,,text,Lectionaries|~|Liturgical texts|~|Biblical texts,syc,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac 218,Sinai. Old Collection,,,4.4
,,sinai,"Sinai Syriac 22. Menologion (8 Kānūn II - 15 Ab) : manuscript, [12th c.]. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1v13pf7,Work,,Menologion,,1101/1200,,12th c.,,,,,,,,Kamil,,,172 ff. ; 1272.2 g,codex,272 x 193 x 65 mm,Parchment,,,,,,,,,,,text,Liturgical texts|~|Hagiographies,syc,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac 22,Sinai. Old Collection,,,4.4
,,sinai,"Sinai Syriac 230. Troparia : manuscript, [13th c.]. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z14b4jz8,Work,,Troparion,,1201/1300,,13th c.,,,,,,,,Kamil,,,559 ff. ; 2058.1 g,codex,205 x 162 x 128 mm,Paper,,,,,,,,,,,text,Liturgical texts|~|Hymnals,syc,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac 230,Sinai. Old Collection,,,4.4
,,sinai,"Sinai Syriac 235. Services : manuscript, 1215. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z10k3t6h,Work,,,,1215,,1215,,,,,,,,Kamil,,,183 ff. ; 1436.4 g,codex,255 x 185 x 65 mm,Paper,,,,,,,,,,,text,Liturgical texts,syc,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac 235,Sinai. Old Collection,,,4.4
,,sinai,"Sinai Syriac 270. Services : manuscript, [13th c.]. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1vt39pr,Work,,,,1201/1300,,13th c.,,,,,,,,Kamil,,,274 ff. ; 1552.2 g,codex,230 x 173 x 88 mm,Paper,,,,,,,,,,,text,Liturgical texts,syc,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac 270,Sinai. Old Collection,,,4.4
,,sinai,"Sinai Syriac 279. Maccabeans I-III : manuscript, [8th c.]. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1r518c2,Work,,Bible. Maccabees,,701/800,,8th c.,,,,,,,,Kamil,,,104 ff. ; 756.5 g,codex,242 x 160 x 60 mm,Parchment,,,,,,,,,,,text,Biblical texts,syc,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac 279,Sinai. Old Collection,,,4.4
,,sinai,"Sinai Syriac 28. Book of Kings : manuscript, [8th c.]. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1q82xrz,Work,,Bible. Kings,,701/800,,8th c.,,,,,,,,Kamil,,,97 ff. ; 772.2 g,codex,252 x 183 x 51 mm,Parchment,,,,,,,,,,,text,Biblical texts,syc,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac 28,Sinai. Old Collection,,,4.4
,,sinai,"Sinai Syriac 2b. Lectionary of Gospels : manuscript, 1092. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1mg975v,Work,,Evangelion,,1092,,1092,,,,,,,,,,,152 ff. ; 1490.1 g,codex,239 x 196 x 89 mm,Parchment,,,,,,,,,,,text,Lectionaries|~|Liturgical texts|~|Biblical texts|~|Gospel books,cpa,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac 2b,Sinai. Old Collection,,,4.4
,,sinai,"Sinai Syriac 31. Mimars by SS. John, Jacob, and others : manuscript, [10th c.]. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1kh25zq,Work,,,,901/1000,,10th c.,,,,,,,,Kamil,,,81 ff. ; 673.6 g,codex,254 x 165 x 40 mm,Parchment,,,,,,,,,,,text,Theological works,syc,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac 31,Sinai. Old Collection,,,4.4
,,sinai,"Sinai Syriac 4. Triodion II : manuscript, [12th c.]. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1gq8gdp,Work,,Triodion,,1101/1200,,12th c.,,,,,,,,Kamil,,,214 ff. ; 1731.8 g,codex,245 x 191 x 85 mm,Parchment,,,,,,,,,,,text,Liturgical texts|~|Hymnals,syc,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac 4,Sinai. Old Collection,,,4.4
,,sinai,"Sinai Syriac 44. Menologion (1st Ilūl - 30 Tishrīn II) : manuscript, [11th c.]. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1fv04p5,Work,,Menologion,,1001/1100,,11th c.,,,,,,,,Kamil,,,227 ff. ; 2730.1 g,codex,285 x 210 x 108 mm,Parchment,,,,,,,,,,,text,Liturgical texts|~|Hagiographies,syc,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac 44,Sinai. Old Collection,,,4.4
