"File Name","Item Sequence","Title","Descriptive title","Thumbnail URL","viewingHint","Parent ARK","Item ARK","Object Type","AltTitle.other","AltTitle.uniform","Place of origin","Date.normalized","Date binding","Date.creation","Scribe","Author","Associated name","Translator","Contents note","Colophon","Incipit","Explicit","References","Provenance","General note","Format.extent","Form","Format.dimensions","Support","Foliation","Page layout","Hand note","Illustrations note","Inscription","Additions","Binding note","Ink color","Features","Condition note","Type.typeOfResource","Type.genre","Language","Text direction","Writing system","Script","Script note","Rights.statementLocal","Rights contact","Name.repository","Shelfmark","Collection (physical)","Other version(s)","image count","IIIF Manifest URL","delivery"
"","","St. Catherine's Monastery, Sinai Arabic 21","Psalter and Odes","","paged","ark:/21198/z1bk2gmg","ark:/21198/z11c3fjp","Work","","Bible. Psalms|~|Bible. Odes|~|Psalter","","1001/1100","","11th c.","","","","","","","","","Kamil","","","197ff.","codex","150 x 117 x 75.0 mm","Parchment","","","","","","","","","","","text","Biblical texts|~|Liturgical texts","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 21","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11c3fjp/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 220","Troparia","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1zc9mnr","Work","","Troparion","","1390","","1390","","","","","","","","","Kamil","","","215ff.","codex","145 x 107 x 74.0 mm","Paper","","","","","","","","","","","text","Liturgical texts|~|Hymnals","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 220","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zc9mnr/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 221","Troparia","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1tq7k8v","Work","","Troparion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","186ff.","codex","149 x 115 x 68.0 mm","Paper","","","","","","","","","","","text","Liturgical texts|~|Hymnals","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 221","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1tq7k8v/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 228","Troparia and Sayings from the Paradise of the Fathers","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1pz6tkk","Work","","Troparion","","1222","","1222","","","","","","","","","Kamil","","","208ff.","codex","163 x 124 x 62.0 mm","Paper","","","","","","","","","","","text","Liturgical texts|~|Hymnals","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 228","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1pz6tkk/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 230","Troparia and Canons","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1k662t3","Work","","Troparion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","96ff.","codex","197 x 145 x 54.0 mm","Paper","","","","","","","","","","","text","Liturgical texts|~|Hymnals","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 230","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1k662t3/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 248","Canons, Sticheraria and Prayers","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1ff5b1w","Work","","Sticherarion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","197ff.","codex","150 x 122 x 68.0 mm","Paper","","","","","","","","","","","text","Liturgical texts|~|Hymnals","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 248","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ff5b1w/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 255","Canons, Troparia, Office of Genuflection and Prayers","","paged","ark:/21198/z1bk2gmg","ark:/21198/z19p4k95","Work","","Troparion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","179ff.","codex","176 x 135 x 80.0 mm","Paper","","","","","","","","","","","text","Liturgical texts|~|Hymnals","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 255","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz19p4k95/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 261","Book of Liturgy (Euchologia)","","paged","ark:/21198/z1bk2gmg","ark:/21198/z15x3tmw","Work","","Euchologion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","244ff.","codex","148 x 115 x 77.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 261","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz15x3tmw/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 297","Commentary on the Epistle to the Romans by St. John Chrysostom","","paged","ark:/21198/z1bk2gmg","ark:/21198/z12532zr","Work","","","","1101/1200","","12th c.","","John Chrysostom, Saint, -407","","","","","","","Kamil","","","189ff.","codex","184 x 150 x 75.0 mm","Paper","","","","","","","","","","","text","Theological works|~|Commentaries","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 297","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12532zr/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 307","Mimars by St. John Chyrsostom for Lent and some feast days","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1xh18vb","Work","","","","1438","","1438","","John Chrysostom, Saint, -407","","","","","","","Kamil","","","293ff.","codex","180 x 138 x 84.0 mm","Paper","","","","","","","","","","","text","Theological works|~|Apophthegmata","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 307","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1xh18vb/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 316","Mimars of St. Ephraem the Syrian ; Canon of Obeisance","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1sr0j5g","Work","","","","1101/1300","","12th c.","","Ephraem, Syrus, Saint, 303-373|~|Andrew, of Crete, Saint, approximately 660-740","","","Mimars of St. Ephraem the Syrian ; Canon of Obeisance by St. Andrew Bishop of Crete. Different Prayers","","","","Kamil","","","267ff.","codex","181 x 142 x 80.0 mm","Paper","","","","","","","","","","","text","Theological works|~|Mimars","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 316","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1sr0j5g/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 318","Works of St. John Damascene","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1nz9sbv","Work","","","","1226","","1226","","John, of Damascus, Saint","","","Treatise on Logic, followed by One Hundred discourses on the Orthodox Faith, on Nestorians, on Icons, on Jacobites, an Epistle to Cosmas his disciple, etc. by St. John Damascene","","","","Kamil","","","414ff.","codex","182 x 141 x 96.0 mm","Paper","","","","","","","","","","","text","Theological works|~|Apophthegmata","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 318","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1nz9sbv/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 329","Mimars ; Discourses ; Apophthegmata","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1j691kc","Work","","","","901/1000","","10th c.","","John, Climacus, Saint, active 6th century|~|Mark, the Hermit, -approximately 430|~|Diadochus, Bishop of Photice, active 5th century","","","Mimars by SS. John Climax and Mark the Monk ; Discourses of St. Diadochos Bishop of Photike ; Sayings of SS. Dorotheus and Nilus ; An anonymous commentary on the Gospel of St. Matthew","","","","Kamil","","","290ff.","codex","171 x 147 x 96.0 mm","Paper","","","","","","","","","","","text","Theological works|~|Mimars","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 329","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1j691kc/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 330","Mimars ; Discourses","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1df88vn","Work","","","","1001/1100","","11th c.","","John, Climacus, Saint, active 6th century|~|Basil, Saint, Bishop of Caesarea, approximately 329-379|~|John Chrysostom, Saint, -407|~|Jacob, of Serug, 451-521","","","Mimars St. John Climax ; Various discourses by SS. Basil, Athanasius, John Chrysostom, Theodore and Jacob Bishop of Butnan Surug. Extracts from the Old and New Testaments","","","","Kamil","","","388ff.","codex","170 x 148 x 98.0 mm","Paper","","","","","","","","","","","text","Theological works|~|Mimars","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 330","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1df88vn/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 350","Mimars of St. Isaac the Syrian","","paged","ark:/21198/z1bk2gmg","ark:/21198/z18p7j67","Work","","","","1201/1300","","13th c.","","Isaac, Bishop of Nineveh, active 7th century","","","","","","","Kamil","","","269ff.","codex","180 x 140 x 74.0 mm","Paper","","","","","","","","","","","text","Theological works|~|Mimars","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 350","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz18p7j67/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 361","Sayings of St. Dorotheus. Mimars of SS. Ephraem and John Chrysostom","","paged","ark:/21198/z1bk2gmg","ark:/21198/z14x6shz","Work","","","","1201/1300","","13th c.","","Ephraem, Syrus, Saint, 303-373|~|John Chrysostom, Saint, -407","","","","","","","Kamil","","","297ff.","codex","224 x 180 x 88.0 mm","Paper","","","","","","","","","","","text","Theological works|~|Apophthegmata","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 361","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz14x6shz/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 377","St. Antiochus: Pandectes","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1184r7q","Work","","Antiochus, monk of Palestine, active 7th century. Pandektēs","","1252","","1252","","Antiochus, monk of Palestine, active 7th century","","","","","","","Kamil","","","245ff.","codex","218 x 163 x 74.0 mm","Paper","","","","","","","","","","","text","Theological works|~|Apophthegmata","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 377","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1184r7q/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 388","Sayings of SS. Isaiah and Macarius. Mimar by St. Ephraem ; Ascetica by St. Basil","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1wh47sv","Work","","","","1201/1300","","13th c.","","Macarius, the Egyptian, Saint, active 4th century|~|Ephraem, Syrus, Saint, 303-373|~|Basil, Saint, Bishop of Caesarea, approximately 329-379","","","","","","","Kamil","","","196ff.","codex","146 x 106 x 69.0 mm","Paper","","","","","","","","","","","text","Theological works|~|Apophthegmata","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 388","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1wh47sv/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 389","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1rr3gzs","Work","","","","1201/1300","","13th c.","","","","","","","","","LOC","","","115ff.","codex","155 x 113 x 27.0 mm","Paper","","","","","","","","","","","text","","ara|~|cop","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 389","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rr3gzs/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 41","Psalter, Odes and Horologion","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1wm2z3v","Work","","Bible. Psalms|~|Bible. Odes|~|Horologion|~|Psalter","","1201/1300","","13th c.","","","","","","","","","Kamil","","","201ff.","codex","152 x 125 x 55.0 mm","Paper","","","","","","","","","","","text","Biblical texts|~|Liturgical texts","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 41","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1wm2z3v/manifest","delivery 6.1"
