File Name,Item Sequence,Title,Descriptive title,Thumbnail URL,Related,viewingHint,Parent ARK,Item ARK,Object Type,AltTitle.other,AltTitle.uniform,Undertext Objects,Overtext Manuscript,Place of origin,Date.normalized,Date.creation,Scribe,Author,Associated Name,Contributors,Contents note,Contents,Colophon,Incipit,Explicit,References,Provenance,General note,Format.extent,Format.weight,Form,Format.dimensions,Folio dimensions,Support,Foliation,Collation,Page layout,Hand note,Illustrations note,Inscription,Additions,Binding note,Binding condition,Ink color,Features,Condition note,Type.typeOfResource,Type.genre,Language,Text direction,Writing system,Script,Script note,Rights.statementLocal,Rights contact,Name.repository,Shelfmark,Collection,Other version(s),IIIF Manifest URL,delivery,image count,Viscodex
,,"Sinai, St. Catherine’s Monastery, Arabic 111",,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qz3vn2%2Ftw06qv95/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1qz3vn2,Work,Four Gospels,Bible. Gospels,,,,1201/1300,13th c. CE,,,,,,,,,,Kamil,,,325 ff.,1302.4 g,Codex,190 x 147 x 104 mm,,Paper,,,,,,,,,,,,,text,Biblical texts|~|Gospel books,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 111,Old Collection,https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871373 ,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qz3vn2/manifest,delivery 5.1,662,
,,"Sinai, St. Catherine’s Monastery, Arabic 112",,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1np3p1j%2F2812bv2m/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1np3p1j,Work,Four Gospels,Bible. Gospels,,,,1259,1259 CE,,,,,"Preceded by introduction and chapter index. St. Matthew begins with I, 22",,,,,Kamil,,,168 ff.,717.8 g,Codex,231 x 165 x 42 mm,,Paper,,,,,,,,,,,Dated,,text,Biblical texts|~|Gospel books,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 112,Old Collection,https://www.loc.gov/item/00279386784-ms/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1np3p1j/manifest,delivery 4.3,342,https://viscodex.library.utoronto.ca/project/60c18ea186a72250fa7ca176/viewOnly
,,"Sinai, St. Catherine’s Monastery, Arabic 113",,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10k3d0v%2Fvm57pb5k/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z10k3d0v,Work,Four Gospels,Bible. Gospels,,,,1101/1200,12th c. CE,,,,,,,,,,Kamil,,,183 ff.,1384.7 g,Codex,267 x 208 x 65 mm,,Paper,,,,,Minor geometric headpiece on f. 3r,,,,,,"Rubrication|~|Headpiece(s)|~|Decoration, Geometric",,text,Biblical texts|~|Gospel books,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 113,Old Collection,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10k3d0v/manifest,delivery 4.1,376,https://viscodex.library.utoronto.ca/project/60c18d4727d22934ad9f5109/viewOnly
,,"Sinai, St. Catherine’s Monastery, Arabic 114",,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13791v8%2F0x85054s/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z13791v8,Work,Lectionary (Gospels),Evangelion,,,,1201/1300,13th c. CE,,,,,"Four Gospels, divided according to Greek Calendar with index at beginning, followed by table of Gospel readings for the whole year and commentary on Gospel lessons for Sundays and Feasts",,,,,Kamil,,,484 ff.,1756.4 g,Codex,155 x 146 x 133.0 mm,,Paper,,,,,,,,,,,,,text,Liturgical texts|~|Lectionaries|~|Biblical texts|~|Gospel books,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 114,Old Collection,https://www.loc.gov/item/00279386772-ms/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13791v8/manifest,delivery 7.1,978,https://viscodex.library.utoronto.ca/project/60c18a1f27d22934ad9f4b1b/viewOnly
,,"Sinai, St. Catherine’s Monastery, Arabic 115",,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1447541%2F2792md73/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1447541,Work,Four Gospels,Bible. Gospels,,,,1201/1300,13th c. CE,,,,,,,,,,Kamil,,,279 ff.,958.8 g,Codex,181 x 148 x 72.0 mm,,Paper,,,,,,,,,,,,,text,Biblical texts|~|Gospel books,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 115,Old Collection,https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871375 ,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1447541/manifest,delivery 6.1,567,
,,"Sinai, St. Catherine’s Monastery, Arabic 116",,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vt2wgq%2Fvm78gf0g/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1vt2wgq,Work,,Lectionary,,,,985,985 CE,,,,,"Begins with lesson from St. John XXI, 24, 25 and ends with lesson from St. Luke III, 21, 22. Text in Arabic and Greek in two parallel columns",,,,,Kamil,,,207 ff.,1070.5 g,Codex,214 x 162 x 77 mm,,Paper,Left to right foliation,,,,"Minor geometric headpieces throughout, beginning on f. 23v | Decorated Greek initials throughout",,,,,,"Rubrication|~|Decoration, Geometric|~|Headpiece(s)|~|Initial(s), Decorated|~|Dated|~|Parallel text",,text,Liturgical texts|~|Lectionaries|~|Biblical texts,ara|~|grc,,Arabic|~|Greek,Greek majuscule,Kufic elements,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 116,Old Collection,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vt2wgq/manifest,delivery 4.1,426,
,,"Sinai, St. Catherine’s Monastery, Arabic 117",,,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1b86cjr,Work,Lectionary (Gospels),Evangelion,,,,1203,1203 CE,,,,,,,"""This is the day of completing the Holy Gospel, on Saturday in the Ninth Hour from the day [Nones, i.e. 3 pm] 31 in the month of Kānūn al-Awwal [December] in the Year of the World [Anno Mundi] 6701, and Arsani the guilty copied it…"" (f. 138v).",نبتدي علیٰ بركة الله و حسن توفيقه نكتب الانجيل المقدّس (f. 3r).,هذا يوم كمال الإنجيل المقدّس (f. 138v).,Kamil,,,139 ff.,1336.9 g,Codex,257 x 177 x 91 mm,,Paper,f. 128 mistakenly written as 228,,,"Scribe: Arsani (ff. 138v, 139r)","Headpiece on ff. 3r, 22r (tailpiece) | Anthropomorphic decoration on f. 22r","Inscriptions, front board inside, ff. 138v, 139r, 139v, back board inside | Scribal note, f. 138v",,,,,"Headpiece(s)|~|Rubrication|~|Colophon|~|Dated|~|Decoration, Anthropomorphic|~|Inscription(s)",,text,Liturgical texts|~|Lectionaries|~|Biblical texts|~|Gospel books,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 117,Old Collection,https://www.loc.gov/item/00279386759-ms/,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1b86cjr/manifest,delivery 3,288,
,,"Sinai, St. Catherine’s Monastery, Arabic 118",,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10z8n0f%2Fnx38hh90/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z10z8n0f,Work,"Lectionary (Gospels), With commentary on some lessons by St. John Chrysostom",Evangelion,,,,1254,1254 CE,,"John Chrysostom, Saint, -407",,,,,,,,Kamil,,,238 ff.,1823.7 g,Codex,262 x 183 x 85.0 mm,,Paper,,,,,,,,,,,Dated,,text,Liturgical texts|~|Lectionaries|~|Biblical texts|~|Gospel books|~|Commentaries,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 118,Old Collection,https://www.loc.gov/item/00279386863-ms/,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz10z8n0f/manifest,delivery 6.2,484,
,,"Sinai, St. Catherine’s Monastery, Arabic 119",,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h14qgc%2Fgt39dc4g/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1h14qgc,Work,Lectionary (Gospels),Evangelion,,,,1245,1245 CE,,,,,,,,,,Kamil,,,437 ff.,2638.2 g,Codex,265 x 205 x 130.0 mm,,Paper,,,,,,,,,,,Dated,,text,Liturgical texts|~|Lectionaries|~|Biblical texts|~|Gospel books,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 119,Old Collection,https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891617/NLI,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1h14qgc/manifest,delivery 6.3,883,
,,"Sinai, St. Catherine’s Monastery, Arabic 12",,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z33h90%2Fzn14145b/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1z33h90,Work,,Prophetologion,,,,1301/1400,14th c. CE,,,,,,,,,,Kamil,,,122 ff.,473.2 g,Codex,217 x 160 x 33 mm,,Paper,,,,,,,,,,,,,text,Liturgical texts|~|Lectionaries|~|Biblical texts,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 12,Old Collection,https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891571 ,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1z33h90/manifest,delivery 4.3,250,
,,"Sinai, St. Catherine’s Monastery, Arabic 121",,,,paged,ark:/21198/z1bk2gmg,ark:/21198/z16m4b5v,Work,Lectionary (Gospels),Evangelion,,,,1243,1243 CE,,,,,,,,,,Kamil,,,359 ff.,3328.1 g,Codex,300 x 220 x 113 mm,,Paper,,,,,"Ornate headpiece on f. 289v, with cross and lamp motifs | Headpieces on ff. 114v, 296r, 322r with birdlike motif | Minor headpieces throughout | Illustrations on ff. 35v, 42r, 62v, 84r, 178v, 196v, 352v | Full page decoration of cross with border on f. 228v | Geometric decoration on f. 76r","Scribal note, f. 359v",,,,,"Rubrication|~|Illustration(s)|~|Border(s), Decorative|~|Decoration, Zoomorphic|~|Decoration, Full-page|~|Headpiece(s)|~|Dated|~|Inscription(s)",,text,Liturgical texts|~|Lectionaries|~|Biblical texts|~|Gospel books,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 121,Old Collection,https://www.loc.gov/item/00279386851-ms/,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16m4b5v/manifest,delivery 3,734,
,,"Sinai, St. Catherine’s Monastery, Arabic 122",,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hx2x8c%2Fk306jd73/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1hx2x8c,Work,"Lectionary (Gospels), with introduction and commentary",Evangelion,,,,1228,1228 CE,,,,,,,,,,Kamil,,,322 ff.,2428.8 g,Codex,264 x 183 x 98 mm,,Paper,,,,,,,,,,,Dated,,text,Liturgical texts|~|Lectionaries|~|Biblical texts|~|Gospel books|~|Commentaries,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 122,Old Collection,https://www.loc.gov/item/0027938684A-ms/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1hx2x8c/manifest,delivery 4.3,657,
