"File Name","Item Sequence","Title","Descriptive title","Thumbnail URL","viewingHint","Parent ARK","Item ARK","Object Type","AltTitle.other","AltTitle.uniform","Place of origin","Date.normalized","Date.creation","Scribe","Author","Associated name","Contents note","Colophon","Incipit","Explicit","References","Provenance","General note","Format.extent","Format.weight","Form","Format.dimensions","Support","Foliation","Page layout","Hand note","Illustrations note","Inscription","Additions","Binding note","Ink color","Features","Condition note","Type.typeOfResource","Type.genre","Language","Text direction","Writing system","Script","Script note","Rights.statementLocal","Rights contact","Name.repository","Shelfmark","Collection (physical)","Other version(s)","IIIF Manifest URL","delivery","image count"
"","","Sinai, St. Catherine’s Monastery, Arabic 324","Mimars by John Climax","","paged","ark:/21198/z1bk2gmg","ark:/21198/z12r5f5m","Work","Barlaam and Josaphat","Barlaam and Joasaph","","1201/1300","13th c.","","","","","","","","Kamil","","","214 ff.","803.2 g","codex","231 x 172 x 50.0 mm","Paper","","","","","","","","","","","text","Historical works|~|Hagiographies","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 324","Sinai. Old Collection","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz12r5f5m/manifest","delivery 6.3",""
"","","Sinai, St. Catherine’s Monastery, Arabic 349","Mimars of St. Isaac the Syrian","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1z04xmb","Work","","","","1291","1291","","Isaac, Bishop of Nineveh, active 7th century","","","","","","Kamil","","","301 ff.","1295.2 g","codex","202 x 157 x 98.0 mm","Paper","","","","","","","","","Dated","","text","Theological works|~|Mimars","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 349","Sinai. Old Collection","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1z04xmb/manifest","delivery 6.3",""
"","","Sinai, St. Catherine’s Monastery, Arabic 35","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1tb2wdp","Work","Psalter and Odes","Bible. Psalms|~|Bible. Odes|~|Psalter","","1629","1629","","","","","","","","Kamil","","","182 ff.","167.6 g","codex","104 x 81 x 45.0 mm","Paper","","","","","","","","","Dated","","text","Biblical texts|~|Liturgical texts","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 35","Sinai. Old Collection","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1tb2wdp/manifest","delivery 6.3",""
"","","Sinai, St. Catherine’s Monastery, Arabic 355","Mimars of St. Isaac the Syrian","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1pk24mf","Work","","","","1201/1300","13th c.","","Isaac, Bishop of Nineveh, active 7th century","","","","","","Kamil","","","329 ff.","765.6 g","codex","148 x 128 x 122.0 mm","Paper","","","","","","","","","","","text","Theological works|~|Mimars","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 355","Sinai. Old Collection","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1pk24mf/manifest","delivery 6.3",""
"","","Sinai, St. Catherine’s Monastery, Arabic 36","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1jt1cv8","Work","Psalter and Odes","Bible. Psalms|~|Bible. Odes|~|Psalter","","1601/1700","17th c.","","","","","","","","Kamil","","","152 ff.","333.7 g","codex","163 x 126 x 34.0 mm","Paper","","","","","","","","","","","text","Biblical texts|~|Liturgical texts","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 36","Sinai. Old Collection","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1jt1cv8/manifest","delivery 6.3",""
"","","Sinai, St. Catherine’s Monastery, Arabic 393","Canons of the Four Kings","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1f20n48","Work","","","","1101/1200","12th c.","","","","Canons of the Four Kings, treatise on the religious differences between the Franks and the Orthodox peoples, Apostolic and Oecumenical Councils preceded by a historical introduction on the heresies of Arius, Macedonius Eutychius and Dioscorus, and a note on the preparation of the Holy Chrysm","","","","Kamil","","","217 ff.","862.3 g","codex","200 x 168 x 73.0 mm","Paper","","","","","","","","","","","text","Canon law","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 393","Sinai. Old Collection","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1f20n48/manifest","delivery 6.3",""
"","","Sinai, St. Catherine’s Monastery, Arabic 4","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1989wgw","Work","","Bible. Pentateuch|~|Bible. Old Testament","","901/1000","10th c.","","","","","","","","Kamil","","","281 ff.","1561 g","codex","268 x 176 x 83.0 mm","Paper","","","","","","","","","","","text","Biblical texts","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 4","Sinai. Old Collection","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1989wgw/manifest","delivery 6.3",""
"","","Sinai, St. Catherine’s Monastery, Arabic 439","Mimars ; Paradise of the Fathers","","paged","ark:/21198/z1bk2gmg","ark:/21198/z15h94q3","Work","","","","1279","1279","","John, Climacus, Saint, active 6th century|~|John Chrysostom, Saint, -407|~|Sophronius, Saint, Patriarch of Jerusalem, approximately 560-approximately 638","","Book of “The Spiritual Paradise” ; Selection of Mimars from SS. John Climax and John Chrysostom ; Selection from the “Paradise of the Fathers” of Sophronius Patriarch of Jerusalem, including some of the teachings of SS. John Chrysostom, Basil, Ephraem, Nilus and others","","","","Kamil","","","352 ff.","1943.4 g","codex","243 x 165 x 105.0 mm","Paper","","","","","","","","","Dated","","text","Theological works|~|Apophthegmata","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 439","Sinai. Old Collection","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz15h94q3/manifest","delivery 6.3",""
"","","Sinai, St. Catherine’s Monastery, Arabic 479","Paradise of the Fathers, Commentary on the Books of Genesis and Mimars by John Climax","","paged","ark:/21198/z1bk2gmg","ark:/21198/z11r8czx","Work","Lectionary of Epistles","Lectionary","","1601/1700","17th c.","","John, Climacus, Saint, active 6th century","","","","","","Kamil","","","116 ff.","377.2 g","codex","175 x 122 x 33.0 mm","Paper","","","","","","","","","","","text","Theological works|~|Apophthegmata|~|Biblical texts|~|Liturgical texts|~|Commentaries","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 479","Sinai. Old Collection","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz11r8czx/manifest","delivery 6.3",""
"","","Sinai, St. Catherine’s Monastery, Arabic 484","Varia","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1x36kxq","Work","Lectionary of Acts and Gospels for Paschaltide","Lectionary|~|Evangelion","","1226","1226","","John Chrysostom, Saint, -407","","Mimars by SS.John Chrysostom and Ephraem ; Notes on the Oecumenical Councils ; Five episodes and miracles, including one by St. Ephraem addressed to Palladius, another by St. Jacob the Pious and a third by St. Ephraem, the remaining two being anonymous ; Rules for conversion of Coptic and Hijra dates. Selection from the Triodion in Greek and Arabic. Fifty-seventh discourse from the Pandectes, followed by an index in Greek and Arabic for the readings of the Eleven Gospels","","","","Kamil","","","152 ff.","594.8 g","codex","213 x 160 x 40.0 mm","Paper","","","","","","","","","Dated","","text","Theological works|~|Mimars|~|Lectionaries|~|Biblical texts|~|Gospel books","ara|~|grc","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 484","Sinai. Old Collection","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1x36kxq/manifest","delivery 6.3",""
"","","Sinai, St. Catherine’s Monastery, Arabic 491","Sermons for Sundays and Feasts ; The Book of the Master and the Pupil","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1sb5v5z","Work","","","","1201/1300","13th c.","","","","","","","","Kamil","","","343 ff.","1638.7 g","codex","213 x 166 x 115.0 mm","Paper","","","","","","","","","","","text","Theological works|~|Apophthegmata|~|Liturgical texts","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 491","Sinai. Old Collection","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1sb5v5z/manifest","delivery 6.3",""
"","","Sinai, St. Catherine’s Monastery, Arabic 495","Forty-three theological discourses known as the Book of the Master and the Pupil written by St. Thaddeus of Edessa","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1nk53fm","Work","","","","1022","1022","","","","","","","","Kamil","","","358 ff.","1058.4 g","codex","197 x 166 x 102.0 mm","Paper","","","","","","","","","Dated","","text","Theological works|~|Apophthegmata","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 495","Sinai. Old Collection","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1nk53fm/manifest","delivery 6.3",""
"","","Sinai, St. Catherine’s Monastery, Arabic 546","Paradise of the Fathers","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1ht4brb","Work","","","","1101/1200","12th c.","","","","Paradise of the Fathers alphabetically arranged, and preceded by the Life of St. Anthony","","","","Kamil","","","242 ff.","1894.2 g","codex","265 x 189 x 75.0 mm","Paper","","","","","","","","","","","text","Historical works|~|Hagiographies","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 546","Sinai. Old Collection","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ht4brb/manifest","delivery 6.3",""
"","","Sinai, St. Catherine’s Monastery, Arabic 555","Treatise by St. John Carpatheus ; Apophthegmata","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1d23m2s","Work","Treatise by St. John Carpatheus (Hundred chapters) addressed to the Monks of India","Troparion","","1182","1182","","","","","","","","Kamil","","","174 ff.","256.8 g","codex","135 x 102 x 44.0 mm","Paper","","","","","","","","","Dated","","text","Theological works|~|Apophthegmata","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 555","Sinai. Old Collection","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1d23m2s/manifest","delivery 6.3",""
"","","Sinai, St. Catherine’s Monastery, Arabic 561","Life of St. Eustratius ; Paradise of the Fathers ; Fourteen treatises","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1892vb2","Work","","","","1469","1469","","","","Fourteen treatises divisible into: 1 - Names of Prophets from Moses. 2 - Virtues of St. John the Baptist. 3 - On excommunication by St. Gregory the Theologian. 4 -Treatise on the nature of Christ and the Unity of the Creator by Sulaiman ibn Busaila. 5 - Beliefs of the Melkites, Nestorians, Jakobites and Maronites as well as Arius, Macedonius and the Armenians. 6 - The Seven Oecumenical Councils. 7 - On the beliefs of St. Theodore Bishop of Harrān known as Abū Qurra. 8 - The Orthodox Creed. 9 - Two Lives of Saints. Archelides and “God’s Man”. 10 - Mimar by St. John Chrysostom. 11 - Twobooks of miracles of the Archangels Michael and Gabriel","","","","Kamil","","","575 ff.","1857.9 g","codex","178 x 136 x 154.0 mm","Paper","","","","","","","","","Dated","","text","Historical works|~|Hagiographies","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 561","Sinai. Old Collection","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1892vb2/manifest","delivery 6.3",""
"","","Sinai, St. Catherine’s Monastery, Arabic 566","Paradise of the Fathers","","paged","ark:/21198/z1bk2gmg","ark:/21198/z14j23jt","Work","","","","1501/1600","16th c.","","","","","","","","Kamil","","","187 ff.","944.9 g","codex","237 x 176 x 69.0 mm","Paper","","","","","","","","","","","text","Historical works|~|Hagiographies","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 566","Sinai. Old Collection","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz14j23jt/manifest","delivery 6.3",""
"","","Sinai, St. Catherine’s Monastery, Arabic 567","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z10w0288","Work","The Great Pandectes by St. Nicon","Nikon of the Black Mountain, ca. 1025-ca. 1100. Pandektēs","","1201/1300","13th c.","","Nikon of the Black Mountain, ca. 1025-ca. 1100","","","","","","Kamil","","","135 ff.","580.8 g","codex","225 x 186 x 34.0 mm","Paper","","","","","","","","","","","text","Theological works|~|Apophthegmata","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 567","Sinai. Old Collection","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz10w0288/manifest","delivery 6.3",""
