"File Name","Item Sequence","Title","Descriptive title","Thumbnail URL","viewingHint","Parent ARK","Item ARK","Object Type","AltTitle.other","AltTitle.uniform","Place of origin","Date.normalized","Date binding","Date.creation","Scribe","Author","Associated name","Translator","Contents note","Colophon","Incipit","Explicit","References","Provenance","General note","Format.extent","Format.weight","Form","Format.dimensions","Support","Foliation","Page layout","Hand note","Illustrations note","Inscription","Additions","Binding note","Ink color","Features","Condition note","Type.typeOfResource","Type.genre","Language","Text direction","Writing system","Script","Script note","Rights.statementLocal","Rights contact","Name.repository","Shelfmark","Collection (physical)","Other version(s)","image count","IIIF Manifest URL","delivery"
"","","St. Catherine's Monastery, Sinai Arabic 208","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1v7139q","Work","","Horologion","","1601/1700","","17th c.","","","","","","","","","Kamil","","","330 ff.","663.8 g","codex","168 x 141 x 77.0 mm","Paper","","","","decorative elements: 100r, 130r, 144r, 158r, 174r, 212r, 243r, 255r, 317r, 115v, 129v, 143v, 158v, 184v / stub f_081_sr, _sv, f_134_sar, _sav, f_134_sbr, _sbv, f_164_sar, _sav, f_164_sbr, _sbv, f_180_sr, _sv, f_227_sr, _sv, f_301_sr, _sv, f_312_sr, _sv","","","","","","","text","Liturgical texts","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 208","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 212","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1qg0bjj","Work","","Horologion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","116 ff.","725.7 g","codex","189 x 150 x 70.0 mm","Paper","","","","decorative elements: 79r, 72v, 65v, 55v","","","","","","","text","Liturgical texts","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 212","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 214","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1kp9kt8","Work","","Horologion","","1248","","1248","","","","","","","","","Kamil","","","127 ff.","901.6 g","codex","220 x 155 x 65.0 mm","Paper","","","","","","","","","Dated","","text","Liturgical texts","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 214","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 217","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1fx8v69","Work","","Horologion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","139 ff.","432.7 g","codex","146 x 153 x 65.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 217","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 223","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1b583hq","Work","","Liturgy of Saint John Chrysostom|~|Liturgy of Saint Basil","","1774","","1774","","John Chrysostom, Saint, -407|~|Basil, Saint, Bishop of Caesarea, approximately 329-379","","","","","","","Kamil","","","138 ff.","701.3 g","codex","217 x 170 x 32.0 mm","Paper","","","","decorative elements with Gold: 3v,  8r, 15v, 44r, 47r, 47v, 48r, 60r, 60v","","","","","Dated","","text","Liturgical texts","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 223","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 226","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z16h624t","Work","Sticheraria and Canons","Sticherarion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","239 ff.","715.7 g","codex","151 x 121 x 82.0 mm","Paper","","","","decorative elements: 2r","","","","","","f. 133-135 split","text","Liturgical texts|~|Hymnals","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 226","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 227","Prayers of SS Eustratius, Simeon the Miracle-Maker, John Climax and others","","paged","ark:/21198/z1bk2gmg","ark:/21198/z12r59fj","Work","Kontakion of Our Lady, Theotokia, and Canon of Our Lady","Kontakarion","","1201/1300","","13th c.","","","John, Climacus, Saint, active 6th century","","Manuscript contains two Syriac interpolations","","","","Kamil","","","231 ff.","436.3 g","codex","146 x 119 x 62.0 mm","Paper","","","","","","","","","","","text","Liturgical texts|~|Hymnals","ara|~|syc","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 227","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 234","Canons","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1z04svt","Work","","","","1771","","1771","","","","","","","","","Kamil","","","73 ff.","273.5 g","codex","173 x 117 x 23.0 mm","Paper","","","","decorative elements: 2v","","","","","Dated","","text","Liturgical texts","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 234","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 236","Varia","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1t7423f","Work","","","","1298","","1298","","","Andrew, of Crete, Saint, approximately 660-740","","Book of Hours and Vigils of Nativity and Epiphany, Canon of obeisance by Andrew Bishop of Crete, Holy Communion Prayer, and discourse by St. Stephan of the Thebaid on monasticism","","","","Kamil","","","218 ff.","793.5 g","codex","195 x 135 x 70.0 mm","Paper","","","","","","","","","Dated","","text","Liturgical texts|~|Theological works","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 236","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 238","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1pg39cq","Work","Prayers, Horologion, and Canons","Horologion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","371 ff.","1255.3 g","codex","181 x 148 x 92.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 238","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 239"," Canon of Obeisance by Andrew Bishop of Crete","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1jq2jqw","Work","Kontakion of Our Lady","Kontakarion","","1101/1200","","12th c.","","Andrew, of Crete, Saint, approximately 660-740","","","","","","","Kamil","","","87 ff.","296.7 g","codex","164 x 133 x 33.0 mm","Paper","","","","","","","","","","","text","Liturgical texts|~|Hymnals","ara|~|grc","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 239","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 24","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1x655nt","Work","Psalter and Odes","Bible. Psalms|~|Bible. Odes|~|Psalter","","1301/1400","","14th c.","","","","","","","","","Kamil","","","210 ff.","842.6 g","codex","169 x 145 x 83.0 mm","Paper","f.20-29 repeats","","","","","","","","","","text","Biblical texts|~|Liturgical texts","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 24","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 251","Prayers","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1dz1t3x","Work","","","","1701/1800","","18th c.","","","","","","","","","Kamil","","","103 ff.","548.8 g","codex","226 x 166 x 29.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 251","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 253","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1989rrt","Work","Sticherarion and Canons","Sticherarion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","146 ff.","870.4 g","codex","190 x 147 x 67.0 mm","Paper","","","","","","","","","","","text","Liturgical texts|~|Hymnals","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 253","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 256","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z15h911w","Work","","Troparion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","151 ff.","419.3 g","codex","175 x 138 x 44.0 mm","Paper","","","","","","","","","","","text","Liturgical texts|~|Hymnals","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 256","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 257","Oktoichos","","paged","ark:/21198/z1bk2gmg","ark:/21198/z11r8878","Work","","","","1601/1700","","17th c.","","","","","","","","","Kamil","","","146 ff.","650 g","codex","215 x 161 x 35.0 mm","Paper","","all text inside table"," Some calligraphy","","","","","","","","text","Liturgical texts|~|Hymnals","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 257","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 258","Liturgical miscellany","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1x07rqf","Work","","","","1201/1300","","13th c.","","","","","Liturgical miscellany containing Baptism and Marriage Prayers, Genuflection Service, and an Ordo for Blessing Nile water before Pentecost","","","","Kamil","","","257 ff.","1321.7 g","codex","225 x 154 x 100.0 mm","Paper","follows greek foliation left to right","","","","","","","","","","text","Liturgical texts","ara|~|grc","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 258","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 300","Commentary on the Epistle to the Romans by St. John Chrysostom","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1s7710h","Work","","","","1201/1300","","13th c.","","John Chrysostom, Saint, -407","","","","","","","Kamil","","","161 ff.","807.7 g","codex","241 x 175 x 57.0 mm","Paper","","","","","","","","","","","text","Theological works|~|Commentaries","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 300","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 305","Homilies of St. John Chrysostom, to be read on Sundays in the Coptic Church","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1ng68c4","Work","","","","1044","","1044","","John Chrysostom, Saint, -407","","","","","","","Kamil","","","212 ff.","888.1 g","codex","218 x 159 x 56.0 mm","Paper","","","","","","","","","Dated","","text","Theological works|~|Apophthegmata","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 305","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 306","Discourses by St. John Chrysostom (34 discourses)","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1ht471p","Work","","","","1601/1700","","17th c.","","John Chrysostom, Saint, -407","","","","","","","Kamil","","","370 ff.","1030.4 g","codex","210 x 164 x 54.0 mm","Paper","","","","","","","","","","","text","Theological works|~|Apophthegmata","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 306","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 310","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1d23gc5","Work","Epistles of St. Paul to the Romans, the Corinthians I—II, and the Galatians","Bible. Epistles of Paul","","1001/1100","","11th c.","","","","","","","","","Kamil","","","96 ff.","229.1 g","codex","243 x 157 x 21.0 mm","Paper","","","","","","","","","","","text","Biblical texts","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 310","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 321","Life of Barlaam and Josaphat","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1892qpw","Work","","","","1247","","1247","","","","","","","","","Kamil","","","310 ff.","1237.9 g","codex","192 x 147 x 89.0 mm","Paper","","","","","","","","","Dated","","text","Historical works|~|Hagiographies","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 321","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 325","Mimars and Homilies","","paged","ark:/21198/z1bk2gmg","ark:/21198/z14j1zvt","Work","","","","1639","","1639","","Theodore, Studites, Saint, 759-826|~|John Chrysostom, Saint, -407","","","Teaching and Homilies of St. Theodore, Abbot of the Monastery of Stodion ; Mimars of SS. Ephraem and John Chrysostom","","","","Kamil","","","275 ff.","499.8 g","codex","163 x 121 x 48.0 mm","Paper","","","","","","","","","Dated","","text","Theological works|~|Apophthegmata","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 325","Sinai. Old Collection","","0","","delivery 6.2"
